Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Review of evolution of the public long-term care insurance (LTCI) system in different countries: influence and challenge,BMC Health Services Research,,20.0,1,10.1186/s12913-020-05878-z,Linhong ChenLu ZhangXiaocang Xu,2020,http://link.springer.com/article/10.1186/s12913-020-05878-z,Article
AI transparency: a matter of reconciling design with critique,AI & SOCIETY,,,,10.1007/s00146-020-01110-y,Tomasz Hollanek,2020,http://link.springer.com/article/10.1007/s00146-020-01110-y,Article
Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,Environmental Evidence,,9.0,1,10.1186/s13750-020-00211-x,Dag LorickBiljana MacuraMarcus AhlströmAnders GrimvallRobin Harder,2020,http://link.springer.com/article/10.1186/s13750-020-00211-x,Article
Predicting Code Smells and Analysis of Predictions: Using Machine Learning Techniques and Software Metrics,Journal of Computer Science and Technology,,35.0,6,10.1007/s11390-020-0323-7,Mohammad Y. MhawishManjari Gupta,2020,http://link.springer.com/article/10.1007/s11390-020-0323-7,Article
How does code readability change during software evolution?,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09886-9,Valentina PiantadosiFabiana FierroSimone ScalabrinoAlexander SerebrenikRocco Oliveto,2020,http://link.springer.com/article/10.1007/s10664-020-09886-9,Article
Topic Modeling Based Warning Prioritization from Change Sets of Software Repository,Journal of Computer Science and Technology,,35.0,6,10.1007/s11390-020-0047-8,Jung-Been LeeTaek LeeHoh Peter In,2020,http://link.springer.com/article/10.1007/s11390-020-0047-8,Article
Congress of neurological surgeons systematic review and evidence-based guidelines update on the role of emerging developments in the management of newly diagnosed glioblastoma,Journal of Neuro-Oncology,,150.0,2,10.1007/s11060-020-03607-4,Christopher FarrellWenyin ShiAlexa BodmanJeffrey J. Olson,2020,http://link.springer.com/article/10.1007/s11060-020-03607-4,Article
An Empirical Investigation of Relevant Changes and Automation Needs in Modern Code Review,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09870-3,Sebastiano PanichellaNik Zaugg,2020,http://link.springer.com/article/10.1007/s10664-020-09870-3,Article
API compatibility issues in Android: Causes and effectiveness of data-driven detection techniques,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09877-w,Simone ScalabrinoGabriele BavotaMario Linares-VásquezValentina PiantadosiMichele LanzaRocco Oliveto,2020,http://link.springer.com/article/10.1007/s10664-020-09877-w,Article
On the time-based conclusion stability of cross-project defect prediction models,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09878-9,Abdul Ali BangashHareem SaharAbram HindleKarim Ali,2020,http://link.springer.com/article/10.1007/s10664-020-09878-9,Article
A longitudinal study of static analysis warning evolution and the effects of PMD on software quality in Apache open source projects,Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09880-1,Alexander TrautschSteffen HerboldJens Grabowski,2020,http://link.springer.com/article/10.1007/s10664-020-09880-1,Article
"Publish or perish, but do not forget your software artifacts",Empirical Software Engineering,,25.0,6,10.1007/s10664-020-09851-6,Robert HeumüllerSebastian NielebockJacob KrügerFrank Ortmeier,2020,http://link.springer.com/article/10.1007/s10664-020-09851-6,Article
MapReduce-based big data framework using modified artificial neural network classifier for diabetic chronic disease prediction,Soft Computing,,24.0,21,10.1007/s00500-020-04943-3,R. RamaniK. Vimala DeviK. Ruba Soundar,2020,http://link.springer.com/article/10.1007/s00500-020-04943-3,Article
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,Journal of Computer Science and Technology,,35.0,6,10.1007/s11390-020-0007-3,,2020,http://link.springer.com/article/10.1007/s11390-020-0007-3,Article
Ontologies in education – state of the art,Education and Information Technologies,,25.0,6,10.1007/s10639-020-10226-z,Kristian StancinPatrizia PoscicDanijela Jaksic,2020,http://link.springer.com/article/10.1007/s10639-020-10226-z,Article
Congress of neurological surgeons systematic review and evidence-based guidelines update on the role of chemotherapeutic management and antiangiogenic treatment of newly diagnosed glioblastoma in adults,Journal of Neuro-Oncology,,150.0,2,10.1007/s11060-020-03601-w,Navid RedjalBrian V. NahedJorg DietrichSteven N. KalkanisJeffrey J. Olson,2020,http://link.springer.com/article/10.1007/s11060-020-03601-w,Article
Towards efficient and automated side-channel evaluations at design time,Journal of Cryptographic Engineering,,10.0,4,10.1007/s13389-020-00233-8,Danilo ŠijačićJosep BalaschBohan YangSantosh GhoshIngrid Verbauwhede,2020,http://link.springer.com/article/10.1007/s13389-020-00233-8,Article
Digital twin-driven system for roller conveyor line: design and control,Journal of Ambient Intelligence and Humanized Computing,,11.0,11,10.1007/s12652-020-01898-z,PengYu WangWeiChao LiuNan LiuYouPeng You,2020,http://link.springer.com/article/10.1007/s12652-020-01898-z,Article
Preface,Journal of Computer Science and Technology,,35.0,6,10.1007/s11390-020-0006-4,Tao XieZhi JinXuan-Dong LiGang HuangHausi A. MullerJun PangLi-Jun Zhang,2020,http://link.springer.com/article/10.1007/s11390-020-0006-4,Article
The role of radiation therapy in treatment of adults with newly diagnosed glioblastoma multiforme: a systematic review and evidence-based clinical practice guideline update,Journal of Neuro-Oncology,,150.0,2,10.1007/s11060-020-03612-7,Mateo ZiuBetty Y. S. KimWen JiangTimothy RykenJeffrey J. Olson,2020,http://link.springer.com/article/10.1007/s11060-020-03612-7,Article
Completing the Economic and Monetary Union: Wisdom Come Late?,Italian Economic Journal,,6.0,3,10.1007/s40797-019-00105-z,Francesco Spadafora,2020,http://link.springer.com/article/10.1007/s40797-019-00105-z,Article
Making context the central concept in privacy engineering,Research and Practice in Technology Enhanced Learning,,15.0,1,10.1186/s41039-020-00141-9,Tore HoelWeiqin ChenJan M. Pawlowski,2020,http://link.springer.com/article/10.1186/s41039-020-00141-9,Article
Ethereum smart contract security research: survey and future research opportunities,Frontiers of Computer Science,,15.0,2,10.1007/s11704-020-9284-9,Zeli WangHai JinWeiqi DaiKim-Kwang Raymond ChooDeqing Zou,2020,http://link.springer.com/article/10.1007/s11704-020-9284-9,Article
Machine Learning Techniques for Software Maintainability Prediction: Accuracy Analysis,Journal of Computer Science and Technology,,35.0,5,10.1007/s11390-020-9668-1,Sara ElmidaouiLaila CheikhiAli IdriAlain Abran,2020,http://link.springer.com/article/10.1007/s11390-020-9668-1,Article
Mining Design Pattern Use Scenarios and Related Design Pattern Pairs: A Case Study on Online Posts,Journal of Computer Science and Technology,,35.0,5,10.1007/s11390-020-0407-4,Dong LiuZhi-Lei RenZhong-Tian LongGuo-Jun GaoHe Jiang,2020,http://link.springer.com/article/10.1007/s11390-020-0407-4,Article
Insider trading around auto recalls: Does investor attention matter?,Review of Quantitative Finance and Accounting,,55.0,3,10.1007/s11156-019-00866-9,Omer N. GokalpSami KeskekAbdullah KumasMarshall A. Geiger,2020,http://link.springer.com/article/10.1007/s11156-019-00866-9,Article
Cryptanalysis of OCB2: Attacks on Authenticity and Confidentiality,Journal of Cryptology,,33.0,4,10.1007/s00145-020-09359-8,Akiko InoueTetsu IwataKazuhiko MinematsuBertram Poettering,2020,http://link.springer.com/article/10.1007/s00145-020-09359-8,Article
An analysis method for change propagation based on product feature network,Research in Engineering Design,,31.0,4,10.1007/s00163-020-00344-7,Liang ChenYu ZhengJuntong XiShaoyang Li,2020,http://link.springer.com/article/10.1007/s00163-020-00344-7,Article
The effects of bilingualism on executive functions: an updated quantitative analysis,Journal of Cultural Cognitive Science,,4.0,2,10.1007/s41809-020-00062-5,John G. Grundy,2020,http://link.springer.com/article/10.1007/s41809-020-00062-5,Article
Memory Load Effect in the Real-Time Processing of Scalar Implicatures,Journal of Psycholinguistic Research,,49.0,5,10.1007/s10936-020-09726-3,Jacee Cho,2020,http://link.springer.com/article/10.1007/s10936-020-09726-3,Article
Identifying barriers in telemedicine-supported integrated care research: scoping reviews and qualitative content analysis,Journal of Public Health,,28.0,5,10.1007/s10389-019-01065-5,Lorenz HarstPatrick TimpelLena OttoPeggy RichterBastian WollschlaegerKatja WinklerHannes Schlieter,2020,http://link.springer.com/article/10.1007/s10389-019-01065-5,Article
Breathing life into consumer rights: smartphone tools facilitating the “right to know” on substances of very high concern in REACH articles,Environmental Sciences Europe,,32.0,1,10.1186/s12302-020-00387-6,Julian SchentenMattheus BrenigMartin FührKilian Bizer,2020,http://link.springer.com/article/10.1186/s12302-020-00387-6,Article
Code smell detection using multi-label classification approach,Software Quality Journal,,28.0,3,10.1007/s11219-020-09498-y,Thirupathi GuggulothuSalman Abdul Moiz,2020,http://link.springer.com/article/10.1007/s11219-020-09498-y,Article
A Systematic Literature Review on Empirical Analysis of the Relationship Between Code Smells and Software Quality Attributes,Archives of Computational Methods in Engineering,,27.0,4,10.1007/s11831-019-09348-6,Amandeep Kaur,2020,http://link.springer.com/article/10.1007/s11831-019-09348-6,Article
An empirical investigation on the relationship between design and architecture smells,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09847-2,Tushar SharmaParamvir SinghDiomidis Spinellis,2020,http://link.springer.com/article/10.1007/s10664-020-09847-2,Article
Feature requests-based recommendation of software refactorings,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09871-2,Ally S. NyamaweHui LiuNan NiuQasim UmerZhendong Niu,2020,http://link.springer.com/article/10.1007/s10664-020-09871-2,Article
Evaluating the agreement among technical debt measurement tools: building an empirical benchmark of technical debt liabilities,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09869-w,Theodoros AmanatidisNikolaos MittasAthanasia MoschouAlexander ChatzigeorgiouApostolos AmpatzoglouLefteris Angelis,2020,http://link.springer.com/article/10.1007/s10664-020-09869-w,Article
The ‘as code’ activities: development anti-patterns for infrastructure as code,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09841-8,Akond RahmanEffat FarhanaLaurie Williams,2020,http://link.springer.com/article/10.1007/s10664-020-09841-8,Article
A preliminary analysis of self-adaptive systems according to different issues,Software Quality Journal,,28.0,3,10.1007/s11219-020-09502-5,Claudia RaibuletFrancesca Arcelli FontanaSimone Carettoni,2020,http://link.springer.com/article/10.1007/s11219-020-09502-5,Article
"A semi-automated BPMN-based framework for detecting conflicts between security, data-minimization, and fairness requirements",Software and Systems Modeling,,19.0,5,10.1007/s10270-020-00781-x,Qusai RamadanDaniel StrüberMattia SalnitriJan JürjensVolker RiedigerSteffen Staab,2020,http://link.springer.com/article/10.1007/s10270-020-00781-x,Article
An efficient classification approach in imbalanced datasets for intrinsic plagiarism detection,Evolving Systems,,11.0,3,10.1007/s12530-018-9232-1,Andrianna PolydouriEleni VathiGeorgios SiolasAndreas Stafylopatis,2020,http://link.springer.com/article/10.1007/s12530-018-9232-1,Article
Wait for it: identifying “On-Hold” self-admitted technical debt,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09854-3,Rungroj MaipraditChristoph TreudeHideaki HataKenichi Matsumoto,2020,http://link.springer.com/article/10.1007/s10664-020-09854-3,Article
Learning actionable analytics from multiple software projects,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09843-6,Rahul KrishnaTim Menzies,2020,http://link.springer.com/article/10.1007/s10664-020-09843-6,Article
Do code review measures explain the incidence of post-release defects?,Empirical Software Engineering,,25.0,5,10.1007/s10664-020-09837-4,Andrey KrutauzTapajit DeyPeter C. RigbyAudris Mockus,2020,http://link.springer.com/article/10.1007/s10664-020-09837-4,Article
Special issue on quality management for information systems,Software Quality Journal,,28.0,3,10.1007/s11219-020-09516-z,Mario PiattiniIgnacio García-Rodríguez de GuzmánRicardo Pérez-Castillo,2020,http://link.springer.com/article/10.1007/s11219-020-09516-z,Article
Opportunities in intelligent modeling assistance,Software and Systems Modeling,,19.0,5,10.1007/s10270-020-00814-5,Gunter MussbacherBenoit CombemaleJörg KienzleSilvia AbrahãoHyacinth AliNelly BencomoMárton BúrLoli BurgueñoGregor EngelsPierre JeanjeanJean-Marc JézéquelThomas KühnSébastien MosserHouari SahraouiEugene SyrianiDániel Varró,2020,http://link.springer.com/article/10.1007/s10270-020-00814-5,Article
Detection of uneven hoisting of a Tainter lock gate: a case study for The Dalles Lock and Dam,Journal of Civil Structural Health Monitoring,,10.0,4,10.1007/s13349-020-00401-8,Brian EickTravis B. FillmoreMatthew D. SmithQuincy AlexanderBillie F. Spencer Jr.,2020,http://link.springer.com/article/10.1007/s13349-020-00401-8,Article
A pattern-driven solution for designing multi-objective evolutionary algorithms,Natural Computing,,19.0,3,10.1007/s11047-018-9677-y,Giovani GuizzoSilvia R. Vergilio,2020,http://link.springer.com/article/10.1007/s11047-018-9677-y,Article
A hierarchical and process-oriented framework for disassemblability evaluation in product maintainability design,The International Journal of Advanced Manufacturing Technology,,110.0,3 - 4,10.1007/s00170-020-05830-9,Wenmin ZhuXiumin FanQichang He,2020,http://link.springer.com/article/10.1007/s00170-020-05830-9,Article
A solution to drawbacks in capturing execution requirements on heterogeneous platforms,The Journal of Supercomputing,,76.0,9,10.1007/s11227-020-03145-w,Rajesh Devaraj,2020,http://link.springer.com/article/10.1007/s11227-020-03145-w,Article
"Assessment of the ecological health of Geumchon stream using fish, benthic macroinvertebrate, and periphyton",Toxicology and Environmental Health Sciences,,12.0,3,10.1007/s13530-020-00064-4,Dohun LimYoonjin Lee,2020,http://link.springer.com/article/10.1007/s13530-020-00064-4,Article
Optimization of the Performance of Marine Diesel Engines to Minimize the Formation of SOx Emissions,Journal of Marine Science and Application,,19.0,3,10.1007/s11804-020-00156-0,Mina TadrosManuel VenturaC. Guedes Soares,2020,http://link.springer.com/article/10.1007/s11804-020-00156-0,Article
Diagnosing Insensitivity to Scope in Contingent Valuation,Environmental and Resource Economics,,77.0,1,10.1007/s10640-020-00470-9,Ana Faria LopesGorm Kipperberg,2020,http://link.springer.com/article/10.1007/s10640-020-00470-9,Article
Asking the Right Questions—Human Factors Considerations for Telemedicine Design,Current Allergy and Asthma Reports,,20.0,11,10.1007/s11882-020-00965-x,Sarah D. FouquetAndrew T. Miranda,2020,http://link.springer.com/article/10.1007/s11882-020-00965-x,Article
LSTM-based argument recommendation for non-API methods,Science China Information Sciences,,63.0,9,10.1007/s11432-019-2830-8,Guangjie LiHui LiuGe LiSijie ShenHanlin Tang,2020,http://link.springer.com/article/10.1007/s11432-019-2830-8,Article
E-cigarette environmental and fire/life safety risks in schools reported by secondary school teachers,BMC Public Health,,20.0,1,10.1186/s12889-020-09319-8,Maryanne L. Fakeh CampbellAndrew SansoneLauren N. GonzalezKevin R. J. SchrothDerek G. Shendell,2020,http://link.springer.com/article/10.1186/s12889-020-09319-8,Article
RADON: rational decomposition and orchestration for serverless computing,SICS Software-Intensive Cyber-Physical Systems,,35.0,1 - 2,10.1007/s00450-019-00413-w,G. CasaleM. ArtačW.-J. van den HeuvelA. van HoornP. JakovitsF. LeymannM. LongV. PapanikolaouD. PresenzaA. RussoS. N. SriramaD. A. TamburriM. WursterL. Zhu,2020,http://link.springer.com/article/10.1007/s00450-019-00413-w,Article
Collection and Elicitation of Business Process Compliance Patterns with Focus on Data Aspects,Business & Information Systems Engineering,,62.0,4,10.1007/s12599-019-00594-3,Thomas VoglhoferStefanie Rinderle-Ma,2020,http://link.springer.com/article/10.1007/s12599-019-00594-3,Article
"Design principles, architectural smells and refactorings for microservices: a multivocal review",SICS Software-Intensive Cyber-Physical Systems,,35.0,1 - 2,10.1007/s00450-019-00407-8,Davide NeriJacopo SoldaniOlaf ZimmermannAntonio Brogi,2020,http://link.springer.com/article/10.1007/s00450-019-00407-8,Article
Specification of cloud topologies and orchestration using TOSCA: a survey,Computing,,102.0,8,10.1007/s00607-019-00750-3,Julian BellendorfZoltán Ádám Mann,2020,http://link.springer.com/article/10.1007/s00607-019-00750-3,Article
The Ethical Education and Perspectives of Chinese Engineering Students: A Preliminary Investigation and Recommendations,Science and Engineering Ethics,,26.0,4,10.1007/s11948-019-00108-0,Rockwell F. Clancy,2020,http://link.springer.com/article/10.1007/s11948-019-00108-0,Article
An anonymous and secure key agreement protocol for NFC applications using pseudonym,Wireless Networks,,26.0,6,10.1007/s11276-020-02319-x,Mahdi GhafoorianMorteza Nikooghadam,2020,http://link.springer.com/article/10.1007/s11276-020-02319-x,Article
Exploring the Structure of an Algebra Text with Locales,Journal of Automated Reasoning,,64.0,6,10.1007/s10817-019-09537-9,Clemens Ballarin,2020,http://link.springer.com/article/10.1007/s10817-019-09537-9,Article
Supporting Elementary Teachers' Collective Inquiry into the “E” in STEM,Science & Education,,29.0,4,10.1007/s11191-020-00123-9,Elaine Silva MangianteKaitlin A. Gabriele-Black,2020,http://link.springer.com/article/10.1007/s11191-020-00123-9,Article
Fabric Selection in Atopic Dermatitis: An Evidence-Based Review,American Journal of Clinical Dermatology,,21.0,4,10.1007/s40257-020-00516-0,Joanna JarosClaire WilsonVivian Y. Shi,2020,http://link.springer.com/article/10.1007/s40257-020-00516-0,Article
Services for women’s sexual and reproductive health in India: an analysis of treatment-seeking for symptoms of reproductive tract infections in a nationally representative survey,BMC Women's Health,,20.0,1,10.1186/s12905-020-01024-3,Shikha BhasinAnkita ShuklaSapna Desai,2020,http://link.springer.com/article/10.1186/s12905-020-01024-3,Article
Systematic review of factors associated with quality of life of asylum seekers and refugees in high-income countries,Conflict and Health,,14.0,1,10.1186/s13031-020-00292-y,Catharina F. van der BoorRebekah AmosSarah NevittChristopher DowrickRoss G. White,2020,http://link.springer.com/article/10.1186/s13031-020-00292-y,Article
A pay for performance scheme in primary care: Meta-synthesis of qualitative studies on the provider experiences of the quality and outcomes framework in the UK,BMC Family Practice,,21.0,1,10.1186/s12875-020-01208-8,Nagina KhanDavid RudolerMary McDiarmidStephen Peckham,2020,http://link.springer.com/article/10.1186/s12875-020-01208-8,Article
To counter the rationality of sexual violence: existing and potential policies against the genocidal use of rape as a weapon of war in the Democratic Republic of Congo,Journal of International Humanitarian Action,,5.0,1,10.1186/s41018-020-00074-4,Kjeld van Wieringen,2020,http://link.springer.com/article/10.1186/s41018-020-00074-4,Article
Relationships between design problem agglomerations and concerns having types and domains of software as transverse dimensions,Journal of the Brazilian Computer Society,,26.0,1,10.1186/s13173-020-00099-y,Luis Paulo da S. CarvalhoRenato L. NovaisManoel Mendonça,2020,http://link.springer.com/article/10.1186/s13173-020-00099-y,Article
RePOR: Mimicking humans on refactoring tasks. Are we there yet?,Empirical Software Engineering,,25.0,4,10.1007/s10664-020-09826-7,Rodrigo MoralesFoutse KhomhGiuliano Antoniol,2020,http://link.springer.com/article/10.1007/s10664-020-09826-7,Article
Exploiting bad-smells and object-oriented characteristics to prioritize classes for refactoring,International Journal of System Assurance Engineering and Management,,11.0,2,10.1007/s13198-020-01001-x,Ruchika MalhotraPriya Singh,2020,http://link.springer.com/article/10.1007/s13198-020-01001-x,Article
Characterizing the evolution of statically-detectable performance issues of Android apps,Empirical Software Engineering,,25.0,4,10.1007/s10664-019-09798-3,Teerath DasMassimiliano Di PentaIvano Malavolta,2020,http://link.springer.com/article/10.1007/s10664-019-09798-3,Article
How software engineering research aligns with design science: a review,Empirical Software Engineering,,25.0,4,10.1007/s10664-020-09818-7,Emelie EngströmMargaret-Anne StoreyPer RunesonMartin HöstMaria Teresa Baldassarre,2020,http://link.springer.com/article/10.1007/s10664-020-09818-7,Article
Analytical evaluation of agile success factors influencing quality in software industry,International Journal of System Assurance Engineering and Management,,11.0,2,10.1007/s13198-020-00966-z,Abhishek SrivastavaDeepti MehrotraP. K. KapurAnu G. Aggarwal,2020,http://link.springer.com/article/10.1007/s13198-020-00966-z,Article
"Medically, Traditionally, and Dually Circumcised Men in Lesotho: Population-Based Measurements of HIV/STI Infections, Sexual Risk Behaviors, and Service Use Patterns",AIDS and Behavior,,24.0,7,10.1007/s10461-019-02776-2,Maria A. CarrascoJoseph G. RosenLimpho MaileRobert MandaAnouk AmzelValerian Kiggundu,2020,http://link.springer.com/article/10.1007/s10461-019-02776-2,Article
Evaluation of the effectiveness of leachate biological treatment using bacteriological and parasitological monitoring,International Journal of Environmental Science and Technology,,17.0,7,10.1007/s13762-020-02729-6,N. MherziF. LamchouriA. ZalaghiH. Toufik,2020,http://link.springer.com/article/10.1007/s13762-020-02729-6,Article
Studying gas exceptions in blockchain-based cloud applications,Journal of Cloud Computing,,9.0,1,10.1186/s13677-020-00176-9,Chao LiuJianbo GaoYue LiHuihui WangZhong Chen,2020,http://link.springer.com/article/10.1186/s13677-020-00176-9,Article
Refactoring business process models with process fragments substitution,Wireless Networks,,,,10.1007/s11276-020-02367-3,Fei DaiQi MoTong LiBi HuangYongji YangYoujie Zhao,2020,http://link.springer.com/article/10.1007/s11276-020-02367-3,Article
