Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Alkharabsheh K., Crespo Y., Manso E., Taboada J.A.","54681569100;22733838200;56231833300;7006470270;","Software Design Smell Detection: a systematic mapping study",2019,"Software Quality Journal","27","3",,"1069","1148",,27,"10.1007/s11219-018-9424-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055955349&doi=10.1007%2fs11219-018-9424-8&partnerID=40&md5=87ebddb6937cfc3d3f4c8bd25358477d","Universidade de Santiago de Compostela, Santiago de Compostela, Spain; Universidade de Valladolid, Valladolid, Spain","Alkharabsheh, K., Universidade de Santiago de Compostela, Santiago de Compostela, Spain; Crespo, Y., Universidade de Valladolid, Valladolid, Spain; Manso, E., Universidade de Valladolid, Valladolid, Spain; Taboada, J.A., Universidade de Santiago de Compostela, Santiago de Compostela, Spain","Design Smells are indicators of situations that negatively affect software quality attributes such as understandability, testability, extensibility, reusability, and maintainability in general. Improving maintainability is one of the cornerstones of making software evolution easier. Hence, Design Smell Detection is important in helping developers when making decisions that can improve software evolution processes. After a long period of research, it is important to organize the knowledge produced so far and to identify current challenges and future trends. In this paper, we analyze 18 years of research into Design Smell Detection. There is a wide variety of terms that have been used in the literature to describe concepts which are similar to what we have defined as “Design Smells,” such as design defect, design flaw, anomaly, pitfall, antipattern, and disharmony. The aim of this paper is to analyze all these terms and include them in the study. We have used the standard systematic literature review method based on a comprehensive set of 395 articles published in different proceedings, journals, and book chapters. We present the results in different dimensions of Design Smell Detection, such as the type or scope of smell, detection approaches, tools, applied techniques, validation evidence, type of artifact in which the smell is detected, resources used in evaluation, supported languages, and relation between detected smells and software quality attributes according to a quality model. The main contributions of this paper are, on the one hand, the application of domain modeling techniques to obtain a conceptual model that allows the organization of the knowledge on Design Smell Detection and a collaborative web application built on that knowledge and, on the other, finding how tendencies have moved across different kinds of smell detection, as well as different approaches and techniques. Key findings for future trends include the fact that all automatic detection tools described in the literature identify Design Smells as a binary decision (having the smell or not), which is an opportunity to evolve to fuzzy and prioritized decisions. We also find that there is a lack of human experts and benchmark validation processes, as well as demonstrating that Design Smell Detection positively influences quality attributes. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Antipatterns; DesignSmell; Detection tools; Quality models; Systematic mapping study","Benchmarking; Computer software reusability; Computer software selection and evaluation; Inspection equipment; Maintainability; Mapping; Odors; Quality assurance; Reusability; Reviews; Anti-patterns; DesignSmell; Detection tools; Quality models; Systematic mapping studies; Software design","ED431G/08; European Regional Development Fund, FEDER","This work has received financial support from the Consellera de Cultura, Educacin e Ordenacin Universitaria (accreditation 2016-2019, ED431G/08) and the European Regional Development Fund (ERDF). The authors would like to thank Irene Lavin from Universidad de Valladolid for her work in validating the database, checking integrity, and in the implementation of the web app (smellswisdom).",,,,,,,,,,"Alkharabsheh, K.; Universidade de Santiago de CompostelaSpain; email: khalid.alkharabsheh@usc.es",,"Springer New York LLC",09639314,,,,"English","Softw. Qual. J.",Article,"Final","",Scopus,2-s2.0-85055955349
"Pecorelli F., Di Nucci D., De Roover C., De Lucia A.","57210934334;57016777600;55891851900;7003641564;","On the role of data balancing for machine learning-based code smell detection",2019,"MaLTeSQuE 2019 - Proceedings of the 3rd ACM SIGSOFT International Workshop on Machine Learning Techniques for Software Quality Evaluation, co-located with ESEC/FSE 2019",,,,"19","24",,17,"10.1145/3340482.3342744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076433758&doi=10.1145%2f3340482.3342744&partnerID=40&md5=79d9362df2ed37b4e2ea352f860ef181","University of Salerno, Salerno, Italy; Vrije Universiteit Brussel, Brussel, Belgium","Pecorelli, F., University of Salerno, Salerno, Italy; Di Nucci, D., Vrije Universiteit Brussel, Brussel, Belgium; De Roover, C., Vrije Universiteit Brussel, Brussel, Belgium; De Lucia, A., University of Salerno, Salerno, Italy","Code smells can compromise software quality in the long term by inducing technical debt. For this reason, many approaches aimed at identifying these design flaws have been proposed in the last decade. Most of them are based on heuristics in which a set of metrics (e.g., code metrics, process metrics) is used to detect smelly code components. However, these techniques suffer of subjective interpretation, low agreement between detectors, and threshold dependability. To overcome these limitations, previouswork applied Machine Learning techniques that can learn from previous datasets without needing any threshold definition. However, more recent work has shown that Machine Learning is not always suitable for code smell detection due to the highly unbalanced nature of the problem. In this study we investigate several approaches able to mitigate data unbalancing issues to understand their impact on MLbased approaches for code smell detection. Our findings highlight a number of limitations and open issues with respect to the usage of data balancing in ML-based code smell detection. © 2019 Association for Computing Machinery.","Code Smells; Data Balancing; Machine Learning","Codes (symbols); Computer software selection and evaluation; Learning algorithms; Learning systems; Machine learning; Odors; Quality control; Applied machine learning; Code components; Code metrics; Code smell; Process metrics; Software Quality; Technical debts; Balancing","0015718F","This work was partially supported by the Excellence of Science Project SECO-Assist (0015718F, FWO - Vlaanderen and F.R.S.-FNRS).",,,,,,,,,,,"Fontana F.A.Walter B.Ampatzoglou A.Palomba F.Perrouin G.Acher M.Cordy M.Devroey X.","Association for Computing Machinery, Inc",,9781450368551,,,"English","MaLTeSQuE - Proc. ACM SIGSOFT Int. Workshop Mach. Learn. Tech. Softw. Qual. Eval., co-located ESEC/FSE",Conference Paper,"Final","",Scopus,2-s2.0-85076433758
"Garousi V., Pfahl D., Fernandes J.M., Felderer M., Mäntylä M.V., Shepherd D., Arcuri A., Coşkunçay A., Tekinerdogan B.","13408954200;6603033193;7201540270;24832720900;7006843663;7201684174;23097099900;56426408500;15761578600;","Characterizing industry-academia collaborations in software engineering: evidence from 101 projects",2019,"Empirical Software Engineering","24","4",,"2540","2602",,19,"10.1007/s10664-019-09711-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064827278&doi=10.1007%2fs10664-019-09711-y&partnerID=40&md5=bbc575e3c8c29234c2a9cd4e6f40689c","Information Technology Group, Wageningen University, Wageningen, Netherlands; Institute of Computer Science, University of Tartu, Tartu, Estonia; Department of Electrical and Computer Engineering, University of Calgary, Calgary, Canada; Department Informatics / ALGORITMI Centre, University of Minho, Braga, Portugal; University of Innsbruck, Innsbruck, Austria; Blekinge Institute of Technology, Karlskrona, Sweden; M3S, Faculty of Information Technology and Electrical Engineering, University of Oulu, Oulu, Finland; ABB Corporate Research, Raleigh, NC, United States; Kristiania University College, Oslo, Norway; Computer Engineering Department, Ataturk University, Erzurum, Turkey","Garousi, V., Information Technology Group, Wageningen University, Wageningen, Netherlands; Pfahl, D., Institute of Computer Science, University of Tartu, Tartu, Estonia, Department of Electrical and Computer Engineering, University of Calgary, Calgary, Canada; Fernandes, J.M., Department Informatics / ALGORITMI Centre, University of Minho, Braga, Portugal; Felderer, M., University of Innsbruck, Innsbruck, Austria, Blekinge Institute of Technology, Karlskrona, Sweden; Mäntylä, M.V., M3S, Faculty of Information Technology and Electrical Engineering, University of Oulu, Oulu, Finland; Shepherd, D., ABB Corporate Research, Raleigh, NC, United States; Arcuri, A., Kristiania University College, Oslo, Norway; Coşkunçay, A., Computer Engineering Department, Ataturk University, Erzurum, Turkey; Tekinerdogan, B., Information Technology Group, Wageningen University, Wageningen, Netherlands","Research collaboration between industry and academia supports improvement and innovation in industry and helps ensure the industrial relevance of academic research. However, many researchers and practitioners in the community believe that the level of joint industry-academia collaboration (IAC) projects in Software Engineering (SE) research is relatively low, creating a barrier between research and practice. The goal of the empirical study reported in this paper is to explore and characterize the state of IAC with respect to industrial needs, developed solutions, impacts of the projects and also a set of challenges, patterns and anti-patterns identified by a recent Systematic Literature Review (SLR) study. To address the above goal, we conducted an opinion survey among researchers and practitioners with respect to their experience in IAC. Our dataset includes 101 data points from IAC projects conducted in 21 different countries. Our findings include: (1) the most popular topics of the IAC projects, in the dataset, are: software testing, quality, process, and project managements; (2) over 90% of IAC projects result in at least one publication; (3) almost 50% of IACs are initiated by industry, busting the myth that industry tends to avoid IACs; and (4) 61% of the IAC projects report having a positive impact on their industrial context, while 31% report no noticeable impacts or were “not sure”. To improve this situation, we present evidence-based recommendations to increase the success of IAC projects, such as the importance of testing pilot solutions before using them in industry. This study aims to contribute to the body of evidence in the area of IAC, and benefit researchers and practitioners. Using the data and evidence presented in this paper, they can conduct more successful IAC projects in SE by being aware of the challenges and how to overcome them, by applying best practices (patterns), and by preventing anti-patterns. © 2019, The Author(s).","Anti-patterns; Best practices; Challenges; Empirical study; Evidence; Industry-academia collaborations; Patterns; Software engineering","Industrial research; Software engineering; Software testing; Statistical tests; Anti-patterns; Best practices; Challenges; Empirical studies; Evidence; Patterns; Project management","IUT20-55, UID/CEC/00319/2013; Fuel Cell Technologies Program, FCT; Eesti Teadusagentuur, ETAg; Academy of Finland: ITEA3 / TEKES; Tekes; Norges Forskningsråd: 274385","The authors would like to thank the researchers and practitioners who participated in this survey. João M. Fernandes was supported by FCT (Fundação para a Ciência e Tecnologia) within the Project Scope UID/CEC/00319/2013. Dietmar Pfahl was supported by the institutional research grant IUT20-55 of the Estonian Research Council. Andrea Arcuri was supported by the Research Council of Norway (grant agreement No 274385). Mika Mäntylä was partially supported by Academy of Finland grant and ITEA3 / TEKES grant.","The authors would like to thank the researchers and practitioners who participated in this survey. Jo?o M. Fernandes was supported by FCT (Funda??o para a Ci?ncia e Tecnologia) within the Project Scope UID/CEC/00319/2013. Dietmar Pfahl was supported by the institutional research grant IUT20-55 of the Estonian Research Council. Andrea Arcuri was supported by the Research Council of Norway (grant agreement No 274385). Mika M?ntyl? was partially supported by Academy of Finland grant and ITEA3 / TEKES grant.",,,,,,,,,"Garousi, V.; Information Technology Group, Netherlands; email: vahid.garousi@wur.nl",,"Springer New York LLC",13823256,,ESENF,,"English","Empir Software Eng",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85064827278
"Jones E.A., Shuman A.G., Egleston B.L., Liu J.C.","57208146803;16205329600;11939480200;37076038300;","Common Pitfalls of Head and Neck Research Using Cancer Registries",2019,"Otolaryngology - Head and Neck Surgery (United States)","161","2",,"245","250",,8,"10.1177/0194599819838823","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063961088&doi=10.1177%2f0194599819838823&partnerID=40&md5=447be45424a5b54cc517b74bded2ff6c","Department of Otolaryngology, Lewis Katz School of Medicine of Temple University, Philadelphia, PA, United States; Department of Otolaryngology–Head & Neck Surgery, University of Michigan, Ann Arbor, MI, United States; Biostatistics and Bioinformatics Facility, Fox Chase Cancer Center, Temple University Health System, Philadelphia, PA, United States; Department of Surgical Oncology, Fox Chase Cancer Center, Philadelphia, PA, United States","Jones, E.A., Department of Otolaryngology, Lewis Katz School of Medicine of Temple University, Philadelphia, PA, United States; Shuman, A.G., Department of Otolaryngology–Head & Neck Surgery, University of Michigan, Ann Arbor, MI, United States; Egleston, B.L., Biostatistics and Bioinformatics Facility, Fox Chase Cancer Center, Temple University Health System, Philadelphia, PA, United States; Liu, J.C., Department of Otolaryngology, Lewis Katz School of Medicine of Temple University, Philadelphia, PA, United States, Department of Surgical Oncology, Fox Chase Cancer Center, Philadelphia, PA, United States","Objective: To highlight common pitfalls observed in scientific research derived from national cancer registries, predominantly the Survival, Epidemiology, and End Results Program and the National Cancer Database. Data Sources: Literature review and expert opinion. Review Methods: This state-of-the-art review consolidates the literature with editorial experiences describing how and why statistically flawed studies are usually rejected for publication, highlighting common errors in submitted articles employing national cancer registries. Conclusions: Pitfalls were identified in 2 major areas—design and data analysis. Design pitfalls included unbalanced cohorts, uncontrolled covariates, and flawed oncologic variables. Analytical pitfalls included incorrect application of univariate analyses, inclusion of inaccurate data, and inclusion of stage IVc disease in curative survival analysis. Additional limitations of database studies were identified, including absence of patient-related outcomes, hypothesis-generating vs practice-changing implications, and inability to differentiate between overall survival and disease-specific survival. Implications for Practice: Methodological strategies are suggested to ensure careful analytical design and appropriate interpretation. Although national cancer registries provide a wealth of data, researchers must remain vigilant when designing studies and analyzing these data sets. Inherent design flaws raise considerable problems with interpretation; however, when analyzed judiciously, registries can lead to a better understanding of cancer outcomes. © American Academy of Otolaryngology–Head and Neck Surgery Foundation 2019.","cancer registry; data analysis; editorial experiences; errors; guidelines; head and neck cancer; NCDB; pitfalls; SEER; statistical flaws; study design; submission; unbalanced","head and neck tumor; human; medical research; procedures; register; Biomedical Research; Head and Neck Neoplasms; Humans; Registries","National Cancer Institute, NCI: P30CA006927",,,,,,,,,,,"Liu, J.C.; Department of Otolaryngology, United States; email: Jeffrey.Liu@temple.edu",,"SAGE Publications Inc.",01945998,,OTOLD,"30939098","English","Otolaryngol. Head Neck Surg.",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85063961088
"Hadj-Kacem M., Bouassida N.","57211276825;6506761943;","Deep Representation Learning for Code Smells Detection using Variational Auto-Encoder",2019,"Proceedings of the International Joint Conference on Neural Networks","2019-July",,"8851854","","",,10,"10.1109/IJCNN.2019.8851854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073195905&doi=10.1109%2fIJCNN.2019.8851854&partnerID=40&md5=2eaf6624f11a6ef208211dabcb36df5f","Mir@cl Laboratory, Sfax University, Sfax, Tunisia","Hadj-Kacem, M., Mir@cl Laboratory, Sfax University, Sfax, Tunisia; Bouassida, N., Mir@cl Laboratory, Sfax University, Sfax, Tunisia","Detecting code smells is an important research problem in the software maintenance. It assists the subsequent steps of the refactoring process so as to improve the quality of the software system. However, most of existing approaches have been limited to the use of structural information. There have been few researches to detect code smells using semantic information although its proven effectiveness in many software engineering problems. In addition, they do not capture entirely the semantic embedded in the source code. This paper attempts to fill this gap by proposing a semantic-based approach that detects bad smells which are scattered at different levels of granularity in the source code. To this end, we use an Abstract Syntax Tree with a Variational Auto-Encoder in the detection of three code smells. The code smells are Blob, Feature Envy and Long Method. We have performed our experimental evaluation on nine open-source projects and the results have achieved a considerable overall accuracy. To further evaluate the performance of our approach, we compare our results with a state-of-the-art method on the same publicly available dataset. © 2019 IEEE.",,"Codes (symbols); Information use; Odors; Open source software; Semantics; Signal encoding; Trees (mathematics); Abstract Syntax Trees; Experimental evaluation; Open source projects; Overall accuracies; Research problems; Semantic information; State-of-the-art methods; Structural information; Deep learning",,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728119854,85OFA,,"English","Proc Int Jt Conf Neural Networks",Conference Paper,"Final","",Scopus,2-s2.0-85073195905
"Jesudoss A., Maneesha S., Lakshmi Naga Durga T.","56553329100;57216610812;57216615126;","Identification of code smell using machine learning",2019,"2019 International Conference on Intelligent Computing and Control Systems, ICCS 2019",,,"9065317","54","58",,3,"10.1109/ICCS45141.2019.9065317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084085773&doi=10.1109%2fICCS45141.2019.9065317&partnerID=40&md5=adb39e5d7f87fbbfb1b7e0a34875ace6","Sathyabama Institute of Science and Technology, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India, India","Jesudoss, A., Sathyabama Institute of Science and Technology, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India, India; Maneesha, S., Sathyabama Institute of Science and Technology, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India, India; Lakshmi Naga Durga, T., Sathyabama Institute of Science and Technology, Department of Computer Science and Engineering, Chennai, Tamil Nadu, India, India","Code smells are used to improve the quality of the software. Code smell detection detects the code problems like long method, large class, lazy class, long parameter list, feature envy, primitive obsession detector and too many literal detectors present in the code. In this work, two algorithms are used namely Support Vector Machine (SVM) and Random Forest algorithm. Support Vector Machine acts as classifier and the Random Forest algorithm are used for predicting the range of data. Decision making technique is used to identify the various problems present in the code. Code smell detection is a testing tool and it is mainly used by the developers, when the size of the code becomes unmanageable for manual detection. It also identifies deeper problems like syntax error, runtime error. It gives the output by analyzing the code in six different modules in this work. © 2019 IEEE.","Bad Smells; Bloated Code Detector; Code Smell; Feature Envy; Large Class; Lazy Class Detector; Long method; Primitive Obsession Detector","Control systems; Decision making; Decision trees; Intelligent computing; Random forests; Software quality; Support vector machines; Code smell; Random forest algorithm; Run-time errors; Syntax errors; Testing tools; Codes (symbols)",,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781538681138,,,"English","Int. Conf. Intell. Comput. Control Syst., ICCS",Conference Paper,"Final","",Scopus,2-s2.0-85084085773
"Sae-Lim N., Hayashi S., Saeki M.","57190404685;13204497300;7202299264;","Toward proactive refactoring: An exploratory study on decaying modules",2019,"Proceedings - 2019 IEEE/ACM 3rd International Workshop on Refactoring, IWOR 2019",,,"8844415","39","46",,3,"10.1109/IWoR.2019.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073435706&doi=10.1109%2fIWoR.2019.00015&partnerID=40&md5=e10e2a5c9022551b1016cdc78d9b9a95","School of Computing, Tokyo Institute of Technology, Tokyo, 152-8552, Japan","Sae-Lim, N., School of Computing, Tokyo Institute of Technology, Tokyo, 152-8552, Japan; Hayashi, S., School of Computing, Tokyo Institute of Technology, Tokyo, 152-8552, Japan; Saeki, M., School of Computing, Tokyo Institute of Technology, Tokyo, 152-8552, Japan","Source code quality is often measured using code smell, which is an indicator of design flaw or problem in the source code. Code smells can be detected using tools such as static analyzer that detects code smells based on source code metrics. Further, developers perform refactoring activities based on the result of such detection tools to improve source code quality. However, such approach can be considered as reactive refactoring, i.e., developers react to code smells after they occur. This means that developers first suffer the effects of low quality source code (e.g., low readability and understandability) before they start solving code smells. In this study, we focus on proactive refactoring, i.e., refactoring source code before it becomes smelly. This approach would allow developers to maintain source code quality without having to suffer the impact of code smells. To support the proactive refactoring process, we propose a technique to detect decaying modules, which are non-smelly modules that are about to become smelly. We present empirical studies on open source projects with the aim of studying the characteristics of decaying modules. Additionally, to facilitate developers in the refactoring planning process, we perform a study on using a machine learning technique to predict decaying modules and report a factor that contributes most to the performance of the model under consideration. © 2019 IEEE.","Code quality; Code smell; Refactoring","Computer programming languages; Learning systems; Odors; Open source software; Code quality; Code smell; Exploratory studies; Machine learning techniques; Open source projects; Refactorings; Source code metrics; Source code qualities; Codes (symbols)","Japan Society for the Promotion of Science, JSPS: JP15H02683, JP15H02685, JP15K15970, JP18K11238","ACKNOWLEDGMENTS This work was partly supported by JSPS Grants-in-Aid for Scientific Research Numbers JP18K11238, JP15K15970, JP15H02683, and JP15H02685.","This work was partly supported by JSPS Grants-in-Aid for Scientific Research Numbers JP18K11238, JP15K15970, JP15H02683, and JP15H02685.",,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728122700,,,"English","Proc. - IEEE/ACM Int. Workshop Refactoring, IWOR",Conference Paper,"Final","",Scopus,2-s2.0-85073435706
"Rubin J., Henniche A.N., Moha N., Bouguessa M., Bousbia N.","57211058797;57211060878;18038269700;6506692442;35089975500;","Sniffing android code smells: An association rules mining-based approach",2019,"Proceedings - 2019 IEEE/ACM 6th International Conference on Mobile Software Engineering and Systems, MOBILESoft 2019",,,"8816887","123","127",,7,"10.1109/MOBILESoft.2019.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072524983&doi=10.1109%2fMOBILESoft.2019.00025&partnerID=40&md5=003a1e5c6839df97bf2fae70f5fff89a","Univeristy of Quebec, Montreal, Canada; Higher National School of Computer Science, Algiers, Algeria","Rubin, J., Univeristy of Quebec, Montreal, Canada; Henniche, A.N., Higher National School of Computer Science, Algiers, Algeria; Moha, N., Univeristy of Quebec, Montreal, Canada; Bouguessa, M., Univeristy of Quebec, Montreal, Canada; Bousbia, N., Higher National School of Computer Science, Algiers, Algeria","Interest in mobile applications (mobile apps) has grown significantly in recent years and has become an important part of the software development market. Indeed, mobile apps become more and more complex and evolve constantly, while their development time decreases. This complexity and time pressure might lead developers to adopt bad design and implementation choices, which are known as code smells. Code smells in mobile apps could lead to performance issues such as overconsumption of hardware resources (CPU, RAM, battery) or even downtime and crashes. Some tools have been proposed for the detection of code smells in Android apps, such as PAPRIKA or ADOCTOR tools. These tools rely on metrics-based detection rules, which are defined manually according to code smell definitions. However, manually defined rules might be inaccurate and subjective because they are based on user interpretations. In this paper, we present a tool-based approach, called FAKIE, which allows the automatic inference of detection rules by analysing code smells data using an association rules algorithm: FPGROWTH. We validated FAKIE by applying it on a manually analysed validation dataset of 48 opensource mobile apps. We were able to generate detection rules for a dozen code smells, with an average F-measure of 0.95. After all of that, we performed an empirical study by applying FAKIE on 2,993 apps downloaded from ANDROZOO, a repository of mobile apps. © 2019 IEEE.","Android; association rules; code smells; detection; mobile applications","Application programs; Association rules; Codes (symbols); Error detection; Inference engines; Mobile computing; Odors; Software design; Android; Association rules mining; Automatic inference; Code smell; Design and implementations; Hardware resources; Mobile applications; Performance issues; Android (operating system)",,,,,,,,,,,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781728133959,,,"English","Proc. - IEEE/ACM Int. Conf. Mob. Softw. Eng. Syst., MOBILESoft",Conference Paper,"Final","",Scopus,2-s2.0-85072524983
"Schnappinger M., Osman M.H., Pretschner A., Fietzke A.","57225271803;55596310200;12645083400;57720314500;","Learning a classifier for prediction of maintainability based on static analysis tools",2019,"IEEE International Conference on Program Comprehension","2019-May",,"8813252","243","248",,9,"10.1109/ICPC.2019.00043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072319546&doi=10.1109%2fICPC.2019.00043&partnerID=40&md5=72bdcb647a8afcf01d10bc42bfa11312","Technical University of Munich, Munich, Germany; Itestra GmbH, Munich, Germany","Schnappinger, M., Technical University of Munich, Munich, Germany; Osman, M.H., Technical University of Munich, Munich, Germany; Pretschner, A., Technical University of Munich, Munich, Germany; Fietzke, A., Itestra GmbH, Munich, Germany","Static Code Analysis Tools are a popular aid to monitor and control the quality of software systems. Still, these tools only provide a large number of measurements that have to be interpreted by the developers in order to obtain insights about the actual quality of the software. In cooperation with professional quality analysts, we manually inspected source code from three different projects and evaluated its maintainability. We then trained machine learning algorithms to predict the human maintainability evaluation of program classes based on code metrics. The code metrics include structural metrics such as nesting depth, cloning information and abstractions like the number of code smells. We evaluated this approach on a dataset of more than 115,000 Lines of Code. Our model is able to predict up to 81% of the threefold labels correctly and achieves a precision of 80%. Thus, we believe this is a promising contribution towards automated maintainability prediction. In addition, we analyzed the attributes in our created dataset and identified the features with the highest predictive power, i.e. code clones, method length, and the number of alerts raised by the tool Teamscale. This insight provides valuable help for users needing to prioritize tool measurements. © 2019 IEEE.","Code Comprehension; Maintenance Tools; Software Maintenance; Software Quality; Static Code Analysis","Clone cells; Cloning; Codes (symbols); Computer software maintenance; Computer software selection and evaluation; Forecasting; Learning algorithms; Machine learning; Maintainability; Static analysis; Code comprehension; Maintenance tools; Monitor and control; Quality of softwares; Software Quality; Static code analysis; Static code analysis tools; Structural metrics; Quality control",,,,,,,,,,,,,,"IEEE Computer Society",,9781728115191,,,"English","IEEE Int. Conf. Program Comprehension",Conference Paper,"Final","",Scopus,2-s2.0-85072319546
"Pecorelli F., Palomba F., Di Nucci D., De Lucia A.","57210934334;55321369000;57016777600;7003641564;","Comparing heuristic and machine learning approaches for metric-based code smell detection",2019,"IEEE International Conference on Program Comprehension","2019-May",,"8813271","93","104",,51,"10.1109/ICPC.2019.00023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072316200&doi=10.1109%2fICPC.2019.00023&partnerID=40&md5=9d90ddc422db8353080db82eb01e152b","University of Salerno, Italy; University of Zurich, Switzerland; Vrije Universiteit Brussel, Belgium","Pecorelli, F., University of Salerno, Italy; Palomba, F., University of Zurich, Switzerland; Di Nucci, D., Vrije Universiteit Brussel, Belgium; De Lucia, A., University of Salerno, Italy","Code smells represent poor implementation choices performed by developers when enhancing source code. Their negative impact on source code maintainability and comprehensibility has been widely shown in the past and several techniques to automatically detect them have been devised. Most of these techniques are based on heuristics, namely they compute a set of code metrics and combine them by creating detection rules; while they have a reasonable accuracy, a recent trend is represented by the use of machine learning where code metrics are used as predictors of the smelliness of code artefacts. Despite the recent advances in the field, there is still a noticeable lack of knowledge of whether machine learning can actually be more accurate than traditional heuristic-based approaches. To fill this gap, in this paper we propose a large-scale study to empirically compare the performance of heuristic-based and machine-learning-based techniques for metric-based code smell detection. We consider five code smell types and compare machine learning models with DECOR, a state-of-the-art heuristic-based approach. Key findings emphasize the need of further research aimed at improving the effectiveness of both machine learning and heuristic approaches for code smell detection: while DECOR generally achieves better performance than a machine learning baseline, its precision is still too low to make it usable in practice. © 2019 IEEE.","Code Smells Detection; Empirical Study; Heuristics; Machine Learning","Computer programming; Heuristic methods; Learning systems; Machine learning; Odors; Code smell; Empirical studies; Heuristic approach; Heuristics; Large-scale studies; Machine learning approaches; Machine learning models; Reasonable accuracy; Codes (symbols)","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung, SNF: PP00P2_170529","Palomba gratefully acknowledge the support of the Swiss National Science Foundation through the SNF Project No. PP00P2_170529.",,,,,,,,,,,,"IEEE Computer Society",,9781728115191,,,"English","IEEE Int. Conf. Program Comprehension",Conference Paper,"Final","",Scopus,2-s2.0-85072316200
[No author name available],[No author id available],"Proceedings - 2019 IEEE/ACM 27th International Conference on Program Comprehension, ICPC 2019",2019,"IEEE International Conference on Program Comprehension","2019-May",,,"","",404,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072306102&partnerID=40&md5=b1405868c0291b88e60138ed6f2c450b",,"","The proceedings contain 40 papers. The topics discussed include: does BLEU score work for code migration?; removal of design problems through refactorings: are we looking at the right symptoms?; comparing heuristic and machine learning approaches for metric-based code smell detection; are static analysis violations really fixed? a closer look at realistic usage of SonarQube; a large-scale empirical study on code-comment inconsistencies; replication can improve prior results: a github study of pull request acceptance; srcPtr: a framework for implementing static pointer analysis approaches; what goes on in your brain when you read and understand code?; sequence coverage directed greybox fuzzing; and towards automated testing of blockchain-based decentralized applications.",,,,,,,,,,,,,,,,"IEEE Computer Society",,9781728115191,,,"English","IEEE Int. Conf. Program Comprehension",Conference Review,"Final","",Scopus,2-s2.0-85072306102
