Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,Sub-type,Book title,Edition
Conference Paper,"Fernandes E,Oliveira J,Vale G,Paiva T,Figueiredo E",A Review-Based Comparative Study of Bad Smell Detection Tools,,2016,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 20th International Conference on Evaluation and Assessment in Software Engineering,"Limerick, Ireland",2016,9781450336918.0,,https://doi.org/10.1145/2915970.2915984;http://dx.doi.org/10.1145/2915970.2915984,10.1145/2915970.2915984,"Bad smells are symptoms that something may be wrong in the system design or code. There are many bad smells defined in the literature and detecting them is far from trivial. Therefore, several tools have been proposed to automate bad smell detection aiming to improve software maintainability. However, we lack a detailed study for summarizing and comparing the wide range of available tools. In this paper, we first present the findings of a systematic literature review of bad smell detection tools. As results of this review, we found 84 tools; 29 of them available online for download. Altogether, these tools aim to detect 61 bad smells by relying on at least six different detection techniques. They also target different programming languages, such as Java, C, C++, and C#. Following up the systematic review, we present a comparative study of four detection tools with respect to two bad smells: Large Class and Long Method. This study relies on two software systems and three metrics for comparison: agreement, recall, and precision. Our findings support that tools provide redundant detection results for the same bad smell. Based on quantitative and qualitative data, we also discuss relevant usability issues and propose guidelines for developers of detection tools.","comparative study, detection tools, bad smells, systematic literature review",EASE '16,,,
Conference Paper,"Charalampidou S,Ampatzoglou A,Avgeriou P",Size and Cohesion Metrics as Indicators of the Long Method Bad Smell: An Empirical Study,,2015,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 11th International Conference on Predictive Models and Data Analytics in Software Engineering,"Beijing, China",2015,9781450337151.0,,https://doi.org/10.1145/2810146.2810155;http://dx.doi.org/10.1145/2810146.2810155,10.1145/2810146.2810155,"Source code bad smells are usually resolved through the application of well-defined solutions, i.e., refactorings. In the literature, software metrics are used as indicators of the existence and prioritization of resolving bad smells. In this paper, we focus on the long method smell (i.e. one of the most frequent and persistent bad smells) that can be resolved by the extract method refactoring. Until now, the identification of long methods or extract method opportunities has been performed based on cohesion, size or complexity metrics. However, the empirical validation of these metrics has exhibited relatively low accuracy with regard to their capacity to indicate the existence of long methods or extract method opportunities. Thus, we empirically explore the ability of size and cohesion metrics to predict the existence and the refactoring urgency of long method occurrences, through a case study on java open-source methods. The results of the study suggest that one size and four cohesion metrics are capable of characterizing the need and urgency for resolving the long method bad smell, with a higher accuracy compared to the previous studies. The obtained results are discussed by providing possible interpretations and implications to practitioners and researchers.","case study, metrics, Long method, cohesion, size",PROMISE '15,,,
Conference Paper,"Tiwari O,Joshi RK",Functionality Based Code Smell Detection and Severity Classification,,2020,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 13th Innovations in Software Engineering Conference on Formerly Known as India Software Engineering Conference,"Jabalpur, India",2020,9781450375948.0,,https://doi.org/10.1145/3385032.3385048;http://dx.doi.org/10.1145/3385032.3385048,10.1145/3385032.3385048,"The Long Method code smell is a symptom of design defects caused by implementing multiple tasks within a single method. It limits reusability, evolvability and maintainability of a method. In this paper, we present a functionality based approach for detecting long methods. Functionalities are identified through a novel block based dependency analysis technique called Segmentation. It clusters sets of statements into extract method opportunities (or tasks). The approach uses interdependencies among various extract method opportunities identified within the method as a means to measure severity of the long method smell. The approach is validated over a Java based open source code. A comparison with expert's assessment shows that the approach is promising in detecting severe methods irrespective of their sizes.","extract method opportunity, code smell, segmentation, refactoring, long method smell severity",ISEC 2020,,,
Conference Paper,"Haque MS,Carver J,Atkison T","Causes, Impacts, and Detection Approaches of Code Smell: A Survey",,2018,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the ACMSE 2018 Conference,"Richmond, Kentucky",2018,9781450356961.0,,https://doi.org/10.1145/3190645.3190697;http://dx.doi.org/10.1145/3190645.3190697,10.1145/3190645.3190697,"Code smells are anomalies often generated in design, implementation or maintenance phase of software development life cycle. Researchers established several catalogues characterizing the smells. Fowler and Beck developed the most popular catalogue of 22 smells covering varieties of development issues. This literature presents an overview of the existing research conducted on these 22 smells. Our motivation is to represent these smells with an easier interpretation for the software developers, determine the causes that generate these issues in applications and their impact from different aspects of software maintenance. This paper also highlights previous and recent research on smell detection with an effort to categorize the approaches based on the underlying concept.","software engineering, code smell, survey",ACMSE '18,,,
Conference Paper,"Hozano M,Ferreira H,Silva I,Fonseca B,Costa E",Using Developers' Feedback to Improve Code Smell Detection,,2015,,,1661–1663,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 30th Annual ACM Symposium on Applied Computing,"Salamanca, Spain",2015,9781450331968.0,,https://doi.org/10.1145/2695664.2696059;http://dx.doi.org/10.1145/2695664.2696059,10.1145/2695664.2696059,"Several studies are focused on the study of code smells and many detection techniques have been proposed. In this scenario, the use of rules involving software-metrics has been widely used in refactoring tools as a mechanism to detect code smells automatically. However, actual approaches present two unsatisfactory aspects: they present a low agreement in its results and, they do not consider the developers' feedback. In this way, these approaches detect smells that are not relevant to the developers. In order to solve the above mentioned unsatisfactory aspects in the state-of the-art of code smells detection, we propose the Smell Platform able to recognize code smells more relevant to developers by using its feedback. In this paper we present how such platform is able to detect four well known code smells. Finally, we evaluate the Smell Platform comparing its results with traditional detection techniques.","refactoring, code smell detection, developer's feedback",SAC '15,,,
Conference Paper,"Schumacher J,Zazworka N,Shull F,Seaman C,Shaw M",Building Empirical Support for Automated Code Smell Detection,,2010,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,"Bolzano-Bozen, Italy",2010,9781450300391.0,,https://doi.org/10.1145/1852786.1852797;http://dx.doi.org/10.1145/1852786.1852797,10.1145/1852786.1852797,"Identifying refactoring opportunities in software systems is an important activity in today's agile development environments. The concept of code smells has been proposed to characterize different types of design shortcomings in code. Additionally, metric-based detection algorithms claim to identify the ""smelly"" components automatically. This paper presents results for an empirical study performed in a commercial environment. The study investigates the way professional software developers detect god class code smells, then compares these results to automatic classification. The results show that, even though the subjects perceive detecting god classes as an easy task, the agreement for the classification is low. Misplaced methods are a strong driver for letting subjects identify god classes as such. Earlier proposed metric-based detection approaches performed well compared to the human classification. These results lead to the conclusion that an automated metric-based pre-selection decreases the effort spent on manual code inspections. Automatic detection accompanied by a manual review increases the overall confidence in the results of metric-based classifiers.","code inspection, god class, empirical study, code smells, maintainability",ESEM '10,,,
Journal Article,"Sahin D,Kessentini M,Bechikh S,Deb K",Code-Smell Detection as a Bilevel Problem,ACM Trans. Softw. Eng. Methodol.,2014,24.0,1.0,,Association for Computing Machinery,"New York, NY, USA",,,2014-10,,1049-331X,https://doi.org/10.1145/2675067;http://dx.doi.org/10.1145/2675067,10.1145/2675067,"Code smells represent design situations that can affect the maintenance and evolution of software. They make the system difficult to evolve. Code smells are detected, in general, using quality metrics that represent some symptoms. However, the selection of suitable quality metrics is challenging due to the absence of consensus in identifying some code smells based on a set of symptoms and also the high calibration effort in determining manually the threshold value for each metric. In this article, we propose treating the generation of code-smell detection rules as a bilevel optimization problem. Bilevel optimization problems represent a class of challenging optimization problems, which contain two levels of optimization tasks. In these problems, only the optimal solutions to the lower-level problem become possible feasible candidates to the upper-level problem. In this sense, the code-smell detection problem can be treated as a bilevel optimization problem, but due to lack of suitable solution techniques, it has been attempted to be solved as a single-level optimization problem in the past. In our adaptation here, the upper-level problem generates a set of detection rules, a combination of quality metrics, which maximizes the coverage of the base of code-smell examples and artificial code smells generated by the lower level. The lower level maximizes the number of generated artificial code smells that cannot be detected by the rules produced by the upper level. The main advantage of our bilevel formulation is that the generation of detection rules is not limited to some code-smell examples identified manually by developers that are difficult to collect, but it allows the prediction of new code-smell behavior that is different from those of the base of examples. The statistical analysis of our experiments over 31 runs on nine open-source systems and one industrial project shows that seven types of code smells were detected with an average of more than 86% in terms of precision and recall. The results confirm the outperformance of our bilevel proposal compared to state-of-art code-smell detection techniques. The evaluation performed by software engineers also confirms the relevance of detected code smells to improve the quality of software systems.","code smells, Search-based software engineering, software quality",,,,
Conference Paper,"Lujan S,Pecorelli F,Palomba F,De Lucia A,Lenarduzzi V",A Preliminary Study on the Adequacy of Static Analysis Warnings with Respect to Code Smell Prediction,,2020,,,1–6,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 4th ACM SIGSOFT International Workshop on Machine-Learning Techniques for Software-Quality Evaluation,"Virtual, USA",2020,9781450381246.0,,https://doi.org/10.1145/3416505.3423559;http://dx.doi.org/10.1145/3416505.3423559,10.1145/3416505.3423559,"Code smells are poor implementation choices applied during software evolution that can affect source code maintainability. While several heuristic-based approaches have been proposed in the past, machine learning solutions have recently gained attention since they may potentially address some limitations of state-of-the-art approaches. Unfortunately, however, machine learning-based code smell detectors still suffer from low accuracy. In this paper, we aim at advancing the knowledge in the field by investigating the role of static analysis warnings as features of machine learning models for the detection of three code smell types. We first verify the potential contribution given by these features. Then, we build code smell prediction models exploiting the most relevant features coming from the first analysis. The main finding of the study reports that the warnings given by the considered tools lead the performance of code smell prediction models to drastically increase with respect to what reported by previous research in the field.","Machine Learning, Static Analysis Tools, Code Smells",MaLTeSQuE 2020,,,
Conference Paper,"Sharma T,Fragkoulis M,Spinellis D",Does Your Configuration Code Smell?,,2016,,,189–200,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 13th International Conference on Mining Software Repositories,"Austin, Texas",2016,9781450341868.0,,https://doi.org/10.1145/2901739.2901761;http://dx.doi.org/10.1145/2901739.2901761,10.1145/2901739.2901761,"Infrastructure as Code (IaC) is the practice of specifying computing system configurations through code, and managing them through traditional software engineering methods. The wide adoption of configuration management and increasing size and complexity of the associated code, prompt for assessing, maintaining, and improving the configuration code's quality. In this context, traditional software engineering knowledge and best practices associated with code quality management can be leveraged to assess and manage configuration code quality. We propose a catalog of 13 implementation and 11 design configuration smells, where each smell violates recommended best practices for configuration code. We analyzed 4,621 Puppet repositories containing 8.9 million lines of code and detected the cataloged implementation and design configuration smells. Our analysis reveals that the design configuration smells show 9% higher average co-occurrence among themselves than the implementation configuration smells. We also observed that configuration smells belonging to a smell category tend to co-occur with configuration smells belonging to another smell category when correlation is computed by volume of identified smells. Finally, design configuration smell density shows negative correlation whereas implementation configuration smell density exhibits no correlation with the size of a configuration management system.","technical debt, maintainability, infrastructure as code, code quality, configuration smells",MSR '16,,,
Conference Paper,"Fontana FA,Ferme V,Zanoni M,Yamashita A",Automatic Metric Thresholds Derivation for Code Smell Detection,,2015,,,44–53,IEEE Press,"Florence, Italy",Proceedings of the Sixth International Workshop on Emerging Trends in Software Metrics,,2015,,,,,"Code smells are archetypes of design shortcomings in the code that can potentially cause problems during maintenance. One known approach for detecting code smells is via detection rules: a combination of different object-oriented metrics with pre-defined threshold values. The usage of inadequate thresholds when using this approach could lead to either having too few observations (too many false negatives) or too many observations (too many false positives). Furthermore, without a clear methodology for deriving thresholds, one is left with those suggested in literature (or by the tool vendors), which may not necessarily be suitable to the context of analysis. In this paper, we propose a data-driven (i.e., benchmark-based) method to derive threshold values for code metrics, which can be used for implementing detection rules for code smells. Our method is transparent, repeatable and enables the extraction of thresholds that respect the statistical properties of the metric in question (such as scale and distribution). Thus, our approach enables the calibration of code smell detection rules by selecting relevant systems as benchmark data. To illustrate our approach, we generated a benchmark dataset based on 74 systems of the Qualitas Corpus, and extracted the thresholds for five smell detection rules.",,WETSoM '15,,,
Conference Paper,"Cruz D,Santana A,Figueiredo E",Detecting Bad Smells with Machine Learning Algorithms: An Empirical Study,,2020,,,31–40,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 3rd International Conference on Technical Debt,"Seoul, Republic of Korea",2020,9781450379601.0,,https://doi.org/10.1145/3387906.3388618;http://dx.doi.org/10.1145/3387906.3388618,10.1145/3387906.3388618,"Bad smells are symptoms of bad design choices implemented on the source code. They are one of the key indicators of technical debts, specifically, design debt. To manage this kind of debt, it is important to be aware of bad smells and refactor them whenever possible. Therefore, several bad smell detection tools and techniques have been proposed over the years. These tools and techniques present different strategies to perform detections. More recently, machine learning algorithms have also been proposed to support bad smell detection. However, we lack empirical evidence on the accuracy and efficiency of these machine learning based techniques. In this paper, we present an evaluation of seven different machine learning algorithms on the task of detecting four types of bad smells. We also provide an analysis of the impact of software metrics for bad smell detection using a unified approach for interpreting the models' decisions. We found that with the right optimization, machine learning algorithms can achieve good performance (F1 score) for two bad smells: God Class (0.86) and Refused Parent Bequest (0.67). We also uncovered which metrics play fundamental roles for detecting each bad smell.","empirical software engineering, software measurement, machine learning, software quality, bad smells detection",TechDebt '20,,,
Conference Paper,"Oliveto R,Gethers M,Bavota G,Poshyvanyk D,De Lucia A",Identifying Method Friendships to Remove the Feature Envy Bad Smell (NIER Track),,2011,,,820–823,Association for Computing Machinery,"New York, NY, USA",Proceedings of the 33rd International Conference on Software Engineering,"Waikiki, Honolulu, HI, USA",2011,9781450304450.0,,https://doi.org/10.1145/1985793.1985913;http://dx.doi.org/10.1145/1985793.1985913,10.1145/1985793.1985913,"We propose a novel approach to identify Move Method refactoring opportunities and remove the Feature Envy bad smell from source code. The proposed approach analyzes both structural and conceptual relationships between methods and uses Relational Topic Models to identify sets of methods that share several responsabilities, i.e., 'friend methods'. The analysis of method friendships of a given method can be used to pinpoint the target class (envied class) where the method should be moved in. The results of a preliminary empirical evaluation indicate that the proposed approach provides meaningful refactoring opportunities.","refactoring, source code quality, relational topic model",ICSE '11,,,
Conference Paper,"Charalampidou S,Ampatzoglou A,Chatzigeorgiou A,Avgeriou P",Assessing Code Smell Interest Probability: A Case Study,,2017,,,,Association for Computing Machinery,"New York, NY, USA",Proceedings of the XP2017 Scientific Workshops,"Cologne, Germany",2017,9781450352642.0,,https://doi.org/10.1145/3120459.3120465;http://dx.doi.org/10.1145/3120459.3120465,10.1145/3120459.3120465,"An important parameter in deciding to eliminate technical debt (TD) is the probability of a module to generate interest along software evolution. In this study, we explore code smells, which according to practitioners are the most commonly occurring type of TD in industry, by assessing the associated interest probability. As a proxy of smell interest probability we use the frequency of smell occurrences and the change proneness of the modules in which they are identified. To achieve this goal we present a case study on 47,751 methods extracted from two well-known open source projects. The results of the case study suggest that: (a) modules in which ""code smells"" are concentrated are more change-prone than smell-free modules, (b) there are specific types of ""code smells"" that are concentrated in the most change-prone modules, and (c) interest probability of code clones seems to be higher than the other two examined code smells. These results can be useful for both researchers and practitioners, in the sense that the former can focus their research on resolving ""code smells"" that produce more interest, and the latter can improve accordingly the prioritization of their repayment strategy and their training.","case study, technical debt, interest probability, change proneness",XP '17,,,
Conference Paper,Hamilton DE,Tracked Changes: Navigating the Document-Format Anti-Pattern,,2014,,,,Association for Computing Machinery,"New York, NY, USA","Proceedings of the 2nd International Workshop on (Document) Changes: Modeling, Detection, Storage and Visualization","Fort Collins, CO, USA",2014,9781450329644.0,,https://doi.org/10.1145/2723147.2723153;http://dx.doi.org/10.1145/2723147.2723153,10.1145/2723147.2723153,"Editing of word-processing documents at the presentation level, with visible tracking of changes, operates at a different level of abstraction and granularity than the recorded form in common document-file formats. The consequent mismatches along with other limitations of standards for document-file formats present an anti-pattern that impedes reliable inter-product exchange of change-tracked documents. Analysis of the situation for ODF change-tracking reveals simple extensions and definitions that supplement the current specification without introducing any conflicts. Patterns of systematic testing for conformant document files, compliant processing, and verifiable interoperability are identified as essential prerequisites to dependable improvement of change-tracking in collaborative settings.","document formats, WYSIWYG, OpenDocument, user conceptualization, change tracking, over-lapping markup, XML",DChanges '14,,,
