,Title,Authors,Year,Repository
36,Prevalence of Bad Smells in PL/SQL Projects,"de Almeida Filho FG,Martins AD,Vinuto TS,Monteiro JM,de Sousa ÍP,de Castro Machado J,Rocha LS",2019,ACM
37,Risk-Based Data Validation in Machine Learning-Based Software Systems,"Foidl H,Felderer M",2019,ACM
38,"Leveraging Machine Learning and Information Retrieval Techniques in Software Evolution Tasks: Summary of the First MALIR-SE Workshop, at ASE 2013","Lucia,Lo D,Scanniello G,Marchetto A,Ali N,McMillan C",2014,ACM
39,Machine Learning in Python with No Strings Attached,"Baudart G,Hirzel M,Kate K,Mandel L,Shinnar A",2019,ACM
40,Unencapsulated Collection: A Teachable Design Smell,"De Ruvo G,Tempero E,Luxton-Reilly A,Giacaman N",2018,ACM
41,Oracles of Bad Smells: A Systematic Literature Review,"Trindade RP,da Silva Bigonha MA,Ferreira KA",2020,ACM
42,Classifying Feature Models Maintainability Based on Machine Learning Algorithms,"Silva P,Bezerra CI,Lima R,Machado I",2020,ACM
43,Exploring the Impact of Inter-Smell Relations on Software Maintainability: An Empirical Study,"Yamashita A,Moonen L",2013,ACM
44,Speeding up the Data Extraction of Machine Learning Approaches: A Distributed Framework,"Steinhauer M,Palomba F",2020,ACM
45,An Empirical Study of the Performance Impacts of Android Code Smells,"Hecht G,Moha N,Rouvoy R",2016,ACM
46,Domain-Specific Tailoring of Code Smells: An Empirical Study,"Guo Y,Seaman C,Zazworka N,Shull F",2010,ACM
47,Are Existing Code Smells Relevant in Web Games? An Empirical Study,Khanve V,2019,ACM
48,Automated Classification of Class Role-Stereotypes via Machine Learning,"Nurwidyantoro A,Ho-Quang T,Chaudron MR",2019,ACM
49,Towards Detecting Software Performance Anti-Patterns Using Classification Techniques,"Peiris M,Hill JH",2014,ACM
50,Machine Learning Techniques for Code Smells Detection: An Empirical Experiment on a Highly Imbalanced Setup,"Luiz FC,de Oliveira Rodrigues BR,Parreiras FS",2019,ACM
51,The Impact of Regular Expression Denial of Service (ReDoS) in Practice: An Empirical Study at the Ecosystem Scale,"Davis JC,Coghlan CA,Servant F,Lee D",2018,ACM
52,Towards Better Technical Debt Detection with NLP and Machine Learning Methods,Rantala L,2020,ACM
53,CASpER: A Plug-in for Automated Code Smell Detection and Refactoring,"De Stefano M,Gambardella MS,Pecorelli F,Palomba F,De Lucia A",2020,ACM
54,How Are Performance Issues Caused and Resolved?-An Empirical Study from a Design Perspective,"Zhao Y,Xiao L,Wang X,Sun L,Chen B,Liu Y,Bondi AB",2020,ACM
55,On the Influence of Human Factors for Identifying Code Smells: A Multi-Trial Empirical Study,"de Mello RM,Oliveira R,Garcia A",2017,ACM
56,Casting about in the Dark: An Empirical Study of Cast Operations in Java Programs,"Mastrangelo L,Hauswirth M,Nystrom N",2019,ACM
57,Data-Driven Solutions to Detect API Compatibility Issues in Android: An Empirical Study,"Scalabrino S,Bavota G,Linares-Vásquez M,Lanza M,Oliveto R",2019,ACM
58,Are You Still Smelling It? A Comparative Study between Java and Kotlin Language,"Flauzino M,Veríssimo J,Terra R,Cirilo E,Durelli VH,Durelli RS",2018,ACM
59,Prioritizing Software Components Risk: Towards a Machine Learning-Based Approach,"BenIdris M,Ammar H,Dzielski D,Benamer WH",2020,ACM
60,Understanding the Exception Handling Strategies of Java Libraries: An Empirical Study,"Sena D,Coelho R,Kulesza U,Bonifácio R",2016,ACM
61,Evaluating Domain-Specific Metric Thresholds: An Empirical Study,"Mori A,Vale G,Viggiato M,Oliveira J,Figueiredo E,Cirilo E,Jamshidi P,Kastner C",2018,ACM
62,The Scent of Deep Learning Code: An Empirical Study,"Jebnoun H,Ben Braiek H,Rahman MM,Khomh F",2020,ACM
63,Exploring Decision Drivers on God Class Detection in Three Controlled Experiments,"Santos JA,de Mendonça MG",2015,ACM
64,Toward Proactive Refactoring: An Exploratory Study on Decaying Modules,"Sae-Lim N,Hayashi S,Saeki M",2019,ACM
65,Optimized Unit Testing for Antipattern Detection,"Kaur H,Kaur PJ",2014,ACM
66,Vulnerability Anti-Patterns: A Timeless Way to Capture Poor Software Practices (Vulnerabilities),"Nafees T,Coull N,Ferguson I,Sampson A",2017,ACM
67,Dlfinder: Characterizing and Detecting Duplicate Logging Code Smells,"Li Z,Chen TH,Yang J,Shang W",2019,ACM
68,Software Process Anti-Patterns Catalogue,"Brada P,Picha P",2019,ACM
69,Replicomment: Identifying Clones in Code Comments,"Blasi A,Gorla A",2018,ACM
70,Can You Tell Me If It Smells? A Study on How Developers Discuss Code Smells and Anti-Patterns in Stack Overflow,"Tahir A,Yamashita A,Licorish S,Dietrich J,Counsell S",2018,ACM
71,Towards Surgically-Precise Technical Debt Estimation: Early Results and Research Roadmap,"Lenarduzzi V,Martini A,Taibi D,Tamburri DA",2019,ACM
72,Removal of Design Problems through Refactorings: Are We Looking at the Right Symptoms?,"Eposhi A,Oizumi W,Garcia A,Sousa L,Oliveira R,Oliveira A",2019,ACM
73,Automated Reporting of Anti-Patterns and Decay in Continuous Integration,"Vassallo C,Proksch S,Gall HC,Di Penta M",2019,ACM
74,Towards Understanding Code Readability and Its Impact on Design Quality,"Mannan UA,Ahmed I,Sarma A",2018,ACM
75,Continuous Detection of Design Flaws in Evolving Object-Oriented Programs Using Incremental Multi-Pattern Matching,"Peldszus S,Kulcsár G,Lochau M,Schulze S",2016,ACM
76,Deep Semantic-Based Feature Envy Identification,"Guo X,Shi C,Jiang H",2019,ACM
77,Evolution of Legacy System Comprehensibility through Automated Refactoring,"Griffith I,Wahl S,Izurieta C",2011,ACM
78,Automatic Detection of GUI Design Smells: The Case of Blob Listener,"Lelli V,Blouin A,Baudry B,Coulon F,Beaudoux O",2016,ACM
79,A Systematic Literature Mapping on the Relationship between Design Patterns and Bad Smells,"Sousa BL,Bigonha MA,Ferreira KA",2018,ACM
80,Revisiting Context-Based Code Smells Prioritization: On Supporting Referred Context,"Sae-Lim N,Hayashi S,Saeki M",2017,ACM
81,An Exploratory Study to Investigate the Impact of Conceptualization in God Class Detection,"Santos JA,de Mendonça MG,Silva CV",2013,ACM
82,Security Vulnerabilities in Categories of Clones and Non-Cloned Code: An Empirical Study,"Islam MR,Zibran MF,Nagpal A",2017,ACM
83,Revealing Design Problems in Stinky Code: A Mixed-Method Study,"Oizumi W,Sousa L,Garcia A,Oliveira R,Oliveira A,Agbachi OI,Lucena C",2017,ACM
84,Effectiveness of Encapsulation and Object-Oriented Metrics to Refactor Code and Identify Error Prone Classes Using Bad Smells,"Singh S,Kahlon KS",2011,ACM
85,CleanGame: Gamifying the Identification of Code Smells,"dos Santos HM,Durelli VH,Souza M,Figueiredo E,da Silva LT,Durelli RS",2019,ACM
86,An Empirical Examination of the Relationship between Code Smells and Merge Conflicts,"Ahmed I,Brindescu C,Mannan UA,Jensen C,Sarma A",2017,ACM
87,A Preliminary Study on Using Code Smells to Improve Bug Localization,"Takahashi A,Sae-Lim N,Hayashi S,Saeki M",2018,ACM
88,Understanding and Detecting Harmful Code,"Lima R,Souza J,Fonseca B,Teixeira L,Gheyi R,Ribeiro M,Garcia A,de Mello R",2020,ACM
89,Cluster Analysis of Java Dependency Graphs,"Dietrich J,Yakovlev V,McCartin C,Jenson G,Duchrow M",2008,ACM
90,Towards a Catalog of Java Dependency Injection Anti-Patterns,"Laigner R,Kalinowski M,Carvalho L,Mendonça D,Garcia A",2019,ACM
91,What If i Had No Smells?,"Falessi D,Russo B,Mullen K",2017,ACM
92,"Software Evolution and Quality Data from Controlled, Multiple, Industrial Case Studies","Yamashita A,Abtahizadeh SA,Khomh F,Guéhéneuc YG",2017,ACM
93,DV8: Automated Architecture Analysis Tool Suites,"Cai Y,Kazman R",2019,ACM
94,Effectiveness of Refactoring Metrics Model to Identify Smelly and Error Prone Classes in Open Source Software,"Singh S,Kahlon KS",2012,ACM
95,Detecting Performance Anti-Patterns for Applications Developed Using Object-Relational Mapping,"Chen TH,Shang W,Jiang ZM,Hassan AE,Nasser M,Flora P",2014,ACM
96,Automating the Early Detection of Security Design Flaws,"Tuma K,Sion L,Scandariato R,Yskout K",2020,ACM
97,Configuration Smells in Continuous Delivery Pipelines: A Linter and a Six-Month Study on GitLab,"Vassallo C,Proksch S,Jancso A,Gall HC,Di Penta M",2020,ACM
98,Apo-Games: A Case Study for Reverse Engineering Variability from Cloned Java Variants,"Krüger J,Fenske W,Thüm T,Aporius D,Saake G,Leich T",2018,ACM
99,How Do Design Decisions Affect the Distribution of Software Metrics?,"Dósea M,Sant'Anna C,da Silva BC",2018,ACM
100,Test-Driven Evaluation of Linked Data Quality,"Kontokostas D,Westphal P,Auer S,Hellmann S,Lehmann J,Cornelissen R,Zaveri A",2014,ACM
101,Detecting and Visualizing Inter-Worksheet Smells in Spreadsheets,"Hermans F,Pinzger M,van Deursen A",2012,ACM
102,Performance Lies My Professor Told Me: The Case for Teaching Software Performance Engineering to Undergraduates,Dugan RF,2004,ACM
103,Performance Lies My Professor Told Me: The Case for Teaching Software Performance Engineering to Undergraduates,Dugan RF,2004,ACM
104,Learning from Deletions,Mileva YM,2008,ACM
105,Root Causing Flaky Tests in a Large-Scale Industrial Setting,"Lam W,Godefroid P,Nath S,Santhiar A,Thummalapenta S",2019,ACM
106,Self-Configuring User Interface Components,Pohjalainen P,2010,ACM
107,A Study and Toolkit for Asynchronous Programming in C#,"Okur S,Hartveld DL,Dig D,van Deursen A",2014,ACM
108,Seeding Strategies for Multi-Objective Test Case Selection: An Application on Simulation-Based Testing,"Arrieta A,Agirre JA,Sagardui G",2020,ACM
109,An Analysis of Database Caching Policies,"Welborn CR,de Voogt D,Eatough M",2016,ACM
110,Analyzing the HCI Design Pattern Variety,"Kruschitz C,Hitz M",2010,ACM
111,Precise Static Modeling of Ethereum “Memory”,"Lagouvardos S,Grech N,Tsatiris I,Smaragdakis Y",2020,ACM
112,Four Languages and Lots of Macros: Analyzing Autotools Build Systems,"Al-Kofahi JM,Kothari S,Kästner C",2017,ACM
113,Four Languages and Lots of Macros: Analyzing Autotools Build Systems,"Al-Kofahi JM,Kothari S,Kästner C",2017,ACM
114,"Oops, My Tests Broke the Build: An Explorative Analysis of Travis CI with GitHub","Beller M,Gousios G,Zaidman A",2017,ACM
115,ΜDroid: An Energy-Aware Mutation Testing Framework for Android,"Jabbarvand R,Malek S",2017,ACM
116,ClassCompass: A Software Design Mentoring System,"Coelho W,Murphy G",2007,ACM
117,Towards Agile Security in Web Applications,Kongsli V,2006,ACM
118,DRACA: Decision Support for Root Cause Analysis and Change Impact Analysis for CMDBs,"Nadi S,Holt R,Davis I,Mankovskii S",2009,ACM
119,"SPLASH Companion 2016: Companion Proceedings of the 2016 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity",,2016,ACM
120,"Integration of SE Research and Industry: Reflections, Theories and Illustrative Example",Yamashita A,2015,ACM
121,Introducing Software Performance Antipatterns in Cloud Computing Environments: Does It Help or Hurt?,Trubiani C,2015,ACM
122,WitchDoctor: IDE Support for Real-Time Auto-Completion of Refactorings,"Foster SR,Griswold WG,Lerner S",2012,ACM
123,Generating Counterexamples of Model-Based Software Product Lines: An Exploratory Study,"Filho JB,Barais O,Acher M,Baudry B,Le Noir J",2013,ACM
124,On the Actual Use of Inheritance and Interface in Java Projects: Evolution and Implications,"Dantas CE,de A. Maia M",2017,ACM
125,Multi-Objective Optimization for Reverse Engineering of Apo-Games Feature Models,"Mendonça WD,Assunção WK,Linsbauer L",2018,ACM
126,Politics at the Interface: A Foucauldian Power Analysis,"Kannabiran G,Petersen MG",2010,ACM
127,Statically Checking API Protocol Conformance with Mined Multi-Object Specifications,"Pradel M,Jaspan C,Aldrich J,Gross TR",2012,ACM
128,SSA-Based MATLAB-to-C Compilation and Optimization,"Reis L,Bispo J,Cardoso JM",2016,ACM
129,DynaMine: Finding Common Error Patterns by Mining Software Revision Histories,"Livshits B,Zimmermann T",2005,ACM
130,DynaMine: Finding Common Error Patterns by Mining Software Revision Histories,"Livshits B,Zimmermann T",2005,ACM
131,Efficient Mutation Testing by Checking Invariant Violations,"Schuler D,Dallmeier V,Zeller A",2009,ACM
132,The Rise of Serverless Computing,"Castro P,Ishakian V,Muthusamy V,Slominski A",2019,ACM
133,Verify&Revive: Secure Detection and Recovery of Compromised Low-End Embedded Devices,"Ammar M,Crispo B",2020,ACM
134,"Exception beyond Exception: Crashing Android System by Trapping in ""UncaughtException""","Wu J,Liu S,Ji S,Yang M,Luo T,Wu Y,Wang Y",2017,ACM
135,JSDeodorant: Class-Awareness for JavaScript Programs,"Eshkevari L,Mazinanian D,Rostami S,Tsantalis N",2017,ACM
136,SapFix: Automated End-to-End Repair at Scale,"Marginean A,Bader J,Chandra S,Harman M,Jia Y,Mao K,Mols A,Scott A",2019,ACM
137,On the Implications of Language Constructs for Concurrent Execution in the Energy Efficiency of Multicore Applications,"Pinto G,Castor F",2013,ACM
138,On the Existence of High-Impact Refactoring Opportunities in Programs,"Dietrich J,McCartin C,Tempero E,Shah SM",2012,ACM
139,Annotation Refactoring: Inferring Upgrade Transformations for Legacy Applications,"Tansey W,Tilevich E",2008,ACM
140,Annotation Refactoring: Inferring Upgrade Transformations for Legacy Applications,"Tansey W,Tilevich E",2008,ACM
141,RefiNym: Using Names to Refine Types,"Dash SK,Allamanis M,Barr ET",2018,ACM
142,Oopsy-Daisy: Failure Stories in Quantitative Evaluation Studies for Visualizations,"Kim SH,Yi JS,Elmqvist N",2014,ACM
143,Evaluating the Suitability of Mapreduce for Surface Temperature Analysis Codes,"Sudhakaran V,Chue Hong NP",2011,ACM
144,Reusing Security Solutions: A Repository for Architectural Decision Support,"Jasser S,Riebisch M",2016,ACM
145,Are Code Smells the Root Cause of Faults? A Continuous Experimentation Approach,"Pellegrini L,Lenarduzzi V",2018,ACM
146,A Context-Based Refactoring Recommendation Approach Using Simulated Annealing: Two Industrial Case Studies,"Kessentini M,Dea TJ,Ouni A",2017,ACM
147,Exploring the Benefits of Using Redundant Responses in Crowdsourced Evaluations,"Stolee KT,Saylor J,Lund T",2015,ACM
148,Dynamic Deadlock Verification for General Barrier Synchronisation,"Cogumbreiro T,Hu R,Martins F,Yoshida N",2018,ACM
149,Digging into UML Models to Remove Performance Antipatterns,"Cortellessa V,Di Marco A,Eramo R,Pierantonio A,Trubiani C",2010,ACM
150,Rapid Requirements Checks with Requirements Smells: Two Case Studies,"Femmer H,Fernández DM,Juergens E,Klose M,Zimmer I,Zimmer J",2014,ACM
151,A Roadmap to Domain Specific Programming Languages for Environmental Modeling: Key Requirements and Concepts,"Athanasiadis IN,Villa F",2013,ACM
152,MATE: A Mobile Analysis Tool for Usability Experts,"Porat T,Schclar A,Shapira B",2013,ACM
153,RiPLE-HC: Javascript Systems Meets Spl Composition,"Santos AR,do Carmo Machado I,de Almeida ES",2016,ACM
154,Generalization Refactorings for Reusable Aspects,Cox C,2013,ACM
155,RESTify: From RPCs to RESTful HTTP Design,"Strauch J,Schreier S",2012,ACM
156,On the Relationship between Refactoring Actions and Bugs: A Differentiated Replication,"Di Penta M,Bavota G,Zampetti F",2020,ACM
157,PASASM: A Method for the Performance Assessment of Software Architectures,"Williams LG,Smith CU",2002,ACM
158,TDTool: Threshold Derivation Tool,"Veado L,Vale G,Fernandes E,Figueiredo E",2016,ACM
159,What Can Commit Metadata Tell Us about Design Degradation?,"Oliva GA,Steinmacher I,Wiese I,Gerosa MA",2013,ACM
160,Search-Based Determination of Refactorings for Improving the Class Structure of Object-Oriented Systems,"Seng O,Stammel J,Burkhart D",2006,ACM
161,Patterns of Optimized Loops,"Tasharofi S,Johnson R",2010,ACM
162,Graph-Based Trace Analysis for Microservice Architecture Understanding and Problem Diagnosis,"Guo X,Peng X,Wang H,Li W,Jiang H,Ding D,Xie T,Su L",2020,ACM
163,Analysing Log Files For Web Intrusion Investigation Using Hadoop,"Latib MA,Ismail SA,Yusop OM,Magalingam P,Azmi A",2018,ACM
164,Detecting API Documentation Errors,"Zhong H,Su Z",2013,ACM
165,Detecting API Documentation Errors,"Zhong H,Su Z",2013,ACM
166,The Product Backlog,"Sedano T,Ralph P,Péraire C",2019,ACM
167,ModelMine: A Tool to Facilitate Mining Models from Open Source Repositories,"Reza SM,Badreddin O,Rahad K",2020,ACM
168,Smell-O-Message: Integration of Olfactory Notifications into a Messaging Application to Improve Users' Performance,"Maggioni E,Cobden R,Dmitrenko D,Obrist M",2018,ACM
169,Towards Performance Engineering of Model Transformation,"Groner R,Tichy M,Becker S",2018,ACM
170,Getting What You Measure,"Bouwers E,Visser J,van Deursen A",2012,ACM
171,How to Improve the Statistical Power of the 10-Fold Cross Validation Scheme in Recommender Systems,"Košir A,Odić A,Tkalčič M",2013,ACM
172,DScope: Detecting Real-World Data Corruption Hang Bugs in Cloud Server Systems,"Dai T,He J,Gu X,Lu S,Wang P",2018,ACM
173,Code Generation and Analysis for the Functional Verification of Micro Processors,"Hosseini A,Mavroidis D,Konas P",1996,ACM
174,How Practitioners Perceive the Relevance of ESEM Research,"Carver JC,Dieste O,Kraft NA,Lo D,Zimmermann T",2016,ACM
175,AngularJS in the Wild: A Survey with 460 Developers,"Ramos M,Valente MT,Terra R,Santos G",2016,ACM
176,Analysis of the Communication between Colluding Applications on Modern Smartphones,"Marforio C,Ritzdorf H,Francillon A,Capkun S",2012,ACM
177,Improving Object-Oriented Design Quality: A Portfolio- and Measurement-Based Approach,"Bräuer J,Saft M,Plösch R,Körner C",2017,ACM
178,Sharing Bad Practices in Design to Improve the Use of Patterns,"Bouhours C,Leblanc H,Percebois C",2010,ACM
179,Migrating Cascading Style Sheets to Preprocessors by Introducing Mixins,"Mazinanian D,Tsantalis N",2016,ACM
180,On the Usage of Pythonic Idioms,"Alexandru CV,Merchante JJ,Panichella S,Proksch S,Gall HC,Robles G",2018,ACM
181,MetaAutomation: A Pattern Language to Apply Automation to Software Quality,Griscom M,2017,ACM
182,Scala Implicits Are Everywhere: A Large-Scale Study of the Use of Scala Implicits in the Wild,"Křikava F,Miller H,Vitek J",2019,ACM
183,Seven Challenges for RESTful Transaction Models,"Mihindukulasooriya N,Esteban-Gutiérrez M,García-Castro R",2014,ACM
184,Aspect Assumptions: A Retrospective Study of AspectJ Developers' Assumptions about Aspect Usage,"Zschaler S,Rashid A",2011,ACM
185,Agent Oriented Design Patterns: A Case Study,Sauvage S,2004,ACM
186,Detecting Video Game-Specific Bad Smells in Unity Projects,"Borrelli A,Nardone V,Di Lucca GA,Canfora G,Di Penta M",2020,ACM
187,P-Lint: A Permission Smell Detector for Android Applications,"Dennis C,Krutz DE,Mkaouer MW",2017,ACM
188,Patterns for Evaluating Usability of Domain-Specific Languages,"Barišić A,Monteiro P,Amaral V,Goulão M,Monteiro M",2012,ACM
189,A Position Study to Investigate Technical Debt Associated with Security Weaknesses,"Izurieta C,Rice D,Kimball K,Valentien T",2018,ACM
190,The Beauty and the Beast: Separating Design from Algorithm,"Zaparanuks D,Hauswirth M",2011,ACM
191,Towards an Assessment Grid for Intelligent Modeling Assistance,"Mussbacher G,Combemale B,Abrahão S,Bencomo N,Burgueño L,Engels G,Kienzle J,Kühn T,Mosser S,Sahraoui H,Weyssow M",2020,ACM
192,ZIPT: Zero-Integration Performance Testing of Mobile App Designs,"Deka B,Huang Z,Franzen C,Nichols J,Li Y,Kumar R",2017,ACM
193,Extensible and Automated Model-Evaluations with INProVE,"Kemmann S,Kuhn T,Trapp M",2010,ACM
194,Patterns for the Distribution of Power in FLOSS Projects,"Hannebauer C,Link C,Gruhn V",2014,ACM
195,Experiments with Pro-Active Declarative Meta-Programming,"Gómez VU,Kellens A,Gybels K,D'Hondt T",2009,ACM
196,Why Power Laws? An Explanation from Fine-Grained Code Changes,"Lin Z,Whitehead J",2015,ACM
197,Investigating the Correlation between Performance Scores and Energy Consumption of Mobile Web Apps,"Chan-Jong-Chu K,Islam T,Exposito MM,Sheombar S,Valladares C,Philippot O,Grua EM,Malavolta I",2020,ACM
198,Mining of DSLs and Generator Templates from Reference Applications,Rost W,2020,ACM
199,Was Self-Admitted Technical Debt Removal a Real Removal? An in-Depth Perspective,"Zampetti F,Serebrenik A,Di Penta M",2018,ACM
200,A Requirements Analysis for Videogame Design Support Tools,"Nelson MJ,Mateas M",2009,ACM
201,The Evolution of Knowledge in the Refactoring Research Field,"Orrú M,Porru S,Marchesi M,Tonelli R",2015,ACM
202,Mining Evolution of Object Usage,"Mileva YM,Wasylkowski A,Zeller A",2011,ACM
203,Integration of Smells and Refactorings within the Eclipse Modeling Framework,"Arendt T,Taentzer G",2012,ACM
204,Genie: A Longitudinal Study Comparing Physical and Software Thermostats in Office Buildings,"Balaji B,Koh J,Weibel N,Agarwal Y",2016,ACM
205,Performance Anti-Patterns: Want Your Apps to Run Faster? Here’s What Not to Do,Smaalders B,2006,ACM
206,"Actor Concurrency Bugs: A Comprehensive Study on Symptoms, Root Causes, API Usages, and Differences","Bagherzadeh M,Fireman N,Shawesh A,Khatchadourian R",2020,ACM
207,A Novel Type-Based API Search Engine for Open Source Elm Packages,"Ouyang J,Liu Y",2020,ACM
208,SPECS: A Lightweight Runtime Mechanism for Protecting Software from Security-Critical Processor Bugs,"Hicks M,Sturton C,King ST,Smith JM",2015,ACM
209,SPECS: A Lightweight Runtime Mechanism for Protecting Software from Security-Critical Processor Bugs,"Hicks M,Sturton C,King ST,Smith JM",2015,ACM
210,SPECS: A Lightweight Runtime Mechanism for Protecting Software from Security-Critical Processor Bugs,"Hicks M,Sturton C,King ST,Smith JM",2015,ACM
211,Facilitating Students' Collaboration and Learning in a Question and Answer System,"Aritajati C,Narayanan NH",2013,ACM
212,Report from 2nd International Workshop on Developing Tools as Plug-Ins (TOPI 2012),"Garbervetsky D,Kim S",2012,ACM
213,Improving the Developer Experience with a Low-Code Process Modelling Language,"Henriques H,Lourenço H,Amaral V,Goulão M",2018,ACM
214,Towards Application and Evolution of Model-Based Heuristics for Improving SOA Service Design,"Niklas K,Greenyer J,Schneider K",2015,ACM
215,Detecting Quality Problems in Research Data: A Model-Driven Approach,"Kesper A,Wenz V,Taentzer G",2020,ACM
216,Releasing Fast and Slow: An Exploratory Case Study at ING,"Kula E,Rastogi A,Huijgens H,van Deursen A,Gousios G",2019,ACM
217,Implications of Perspective in Teaching Objects First and Object Design,Christensen HB,2005,ACM
218,Implications of Perspective in Teaching Objects First and Object Design,Christensen HB,2005,ACM
219,Cleartext Data Transmissions in Consumer IoT Medical Devices,"Wood D,Apthorpe N,Feamster N",2017,ACM
220,Variability-Based Model Transformation: Formal Foundation and Application,"Strüber D,Rubin J,Arendt T,Chechik M,Taentzer G,Plöger J",2018,ACM
221,Finding More than One Worm in the Apple,Bland M,2014,ACM
222,A Quality-Oriented Approach to Recommend Move Method Refactorings,"Couto CM,Rocha H,Terra R",2018,ACM
223,Improving System Integration Using a Modular Configuration Specification Language,Raab M,2016,ACM
224,Finding and Analyzing Compiler Warning Defects,"Sun C,Le V,Su Z",2016,ACM
225,User-Managed Access to Web Resources,"Machulak MP,Maler EL,Catalano D,van Moorsel A",2010,ACM
