Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,Edition,Address
Journal Article,"Lacerda G,Petrillo F,Pimenta M,Guéhéneuc YG",,Code smells and refactoring: A tertiary systematic review of challenges and observations,Journal of Systems and Software,2020,167.0,,110610,,,2020,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121220300881;http://dx.doi.org/10.1016/j.jss.2020.110610,10.1016/j.jss.2020.110610,"Refactoring and smells have been well researched by the software-engineering research community these past decades. Several secondary studies have been published on code smells, discussing their implications on software quality, their impact on maintenance and evolution, and existing tools for their detection. Other secondary studies addressed refactoring, discussing refactoring techniques, opportunities for refactoring, impact on quality, and tools support. In this paper, we present a tertiary systematic literature review of previous surveys, secondary systematic literature reviews, and systematic mappings. We identify the main observations (what we know) and challenges (what we do not know) on code smells and refactoring. We perform this tertiary review using eight scientific databases, based on a set of five research questions, identifying 40 secondary studies between 1992 and 2018. We organize the main observations and challenges about code smell and their refactoring into: smells definitions, most common code-smell detection approaches, code-smell detection tools, most common refactoring, and refactoring tools. We show that code smells and refactoring have a strong relationship with quality attributes, i.e., with understandability, maintainability, testability, complexity, functionality, and reusability. We argue that code smells and refactoring could be considered as the two faces of a same coin. Besides, we identify how refactoring affects quality attributes, more than code smells. We also discuss the implications of this work for practitioners, researchers, and instructors. We identify 13 open issues that could guide future research work. Thus, we want to highlight the gap between code smells and refactoring in the current state of software-engineering research. We wish that this work could help the software-engineering research community in collaborating on future work on code smells and refactoring.","Code smells, Refactoring, Tertiary systematic review",,,,
Journal Article,"Marcilio D,Furia CA,Bonifácio R,Pinto G",,SpongeBugs: Automatically generating fix suggestions in response to static code analysis warnings,Journal of Systems and Software,2020,168.0,,110671,,,2020,,0164-1212,https://www.sciencedirect.com/science/article/pii/S016412122030128X;http://dx.doi.org/10.1016/j.jss.2020.110671,10.1016/j.jss.2020.110671,"Static code analysis tools such as FindBugs and SonarQube are widely used on open-source and industrial projects to detect a variety of issues that may negatively affect the quality of software. Despite these tools’ popularity and high level of automation, several empirical studies report that developers normally fix only a small fraction (typically, less than 10% (Marcilio et al., 2019) of the reported issues—so-called “warnings”. If these analysis tools could also automatically provide suggestions on how to fix the issues that trigger some of the warnings, their feedback would become more actionable and more directly useful to developers. In this work, we investigate whether it is feasible to automatically generate fix suggestions for common warnings issued by static code analysis tools, and to what extent developers are willing to accept such suggestions into the codebases they are maintaining. To this end, we implemented SpongeBugs, a Java program transformation technique that fixes 11 distinct rules checked by two well-known static code analysis tools (SonarQube and SpotBugs). Fix suggestions are generated automatically based on templates, which are instantiated in a way that removes the source of the warnings; templates for some rules are even capable of producing multi-line patches. Based on the suggestions provided by SpongeBugs, we submitted 38 pull requests, including 946 fixes generated automatically by our technique for various open-source Java projects, including Eclipse UI – a core component of the Eclipse IDE – and both SonarQube and SpotBugs. Project maintainers accepted 87% of our fix suggestions (97% of them without any modifications). We further evaluated the applicability of our technique on software written by students and on a curated collection of bugs. All results indicate that our approach to generating fix suggestions is feasible, flexible, and can help increase the applicability of static code analysis tools.","Static code analysis, Automatic fix suggestion",,,,
Journal Article,"Bavota G,De Lucia A,Di Penta M,Oliveto R,Palomba F",,An experimental investigation on the innate relationship between quality and refactoring,Journal of Systems and Software,2015,107.0,,1-14,,,2015,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121215001053;http://dx.doi.org/10.1016/j.jss.2015.05.024,10.1016/j.jss.2015.05.024,"Previous studies have investigated the reasons behind refactoring operations performed by developers, and proposed methods and tools to recommend refactorings based on quality metric profiles, or on the presence of poor design and implementation choices, i.e., code smells. Nevertheless, the existing literature lacks observations about the relations between metrics/code smells and refactoring activities performed by developers. In other words, the characteristics of code components increasing/decreasing their chances of being object of refactoring operations are still unknown. This paper aims at bridging this gap. Specifically, we mined the evolution history of three Java open source projects to investigate whether refactoring activities occur on code components for which certain indicators—such as quality metrics or the presence of smells as detected by tools—suggest there might be need for refactoring operations. Results indicate that, more often than not, quality metrics do not show a clear relationship with refactoring. In other words, refactoring operations are generally focused on code components for which quality metrics do not suggest there might be need for refactoring operations. Finally, 42% of refactoring operations are performed on code entities affected by code smells. However, only 7% of the performed operations actually remove the code smells from the affected class.","Refactoring, Code smells, Empirical study",,,,
Journal Article,"Lenarduzzi V,Saarimäki N,Taibi D",,Some SonarQube issues have a significant but small effect on faults and changes. A large-scale empirical study,Journal of Systems and Software,2020,170.0,,110750,,,2020,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121220301734;http://dx.doi.org/10.1016/j.jss.2020.110750,10.1016/j.jss.2020.110750,"Context: Companies frequently invest effort to remove technical issues believed to impact software qualities, such as removing anti-patterns or coding styles violations. Objective: We aim to analyze the diffuseness of SonarQube issues in software systems and to assess their impact on code changes and fault-proneness, considering also their different types and severities. Methods: We conducted a case study among 33 Java projects from the Apache Software Foundation repository. Results: We analyzed 726 commits containing 27K faults and 12M changes in Java files. The projects violated 173 SonarQube rules generating more than 95K SonarQube issues in more than 200K classes. Classes not affected by SonarQube issues are less change-prone than affected ones, but the difference between the groups is small. Non-affected classes are slightly more change-prone than classes affected by SonarQube issues of type Code Smell or Security Vulnerability. As for fault-proneness, there is no difference between non-affected and affected classes. Moreover, we found incongruities in the type and severity assigned by SonarQube. Conclusion: Our result can be useful for practitioners to understand which SonarQube issues should be refactored and for researchers to bridge the missing gaps. Moreover, results can also support companies and tool vendors in identifying SonarQube issues as accurately as possible.","Change-proneness, Fault-proneness, SonarQube, Empirical study",,,,
Journal Article,"Terra R,Valente MT,Miranda S,Sales V",,JMove: A novel heuristic and tool to detect move method refactoring opportunities,Journal of Systems and Software,2018,138.0,,19-36,,,2018,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121217302960;http://dx.doi.org/10.1016/j.jss.2017.11.073,10.1016/j.jss.2017.11.073,"This paper presents a recommendation approach that suggests Move Method refactorings using the static dependencies established by methods. This approach, implemented in a publicly available tool called JMove, compares the similarity of the dependencies established by a method with the dependencies established by the methods in possible target classes. We first evaluate JMove using 195 Move Method refactoring opportunities, synthesized in 10 open-source systems. In this evaluation, JMove precision ranges from 21% (small methods) to 32% (large methods) and its median recall ranges from 21% (small methods) to 60% (large methods). In the same scenario, JDeodorant, which is a state-of-the-art Move Method recommender, has a maximal precision of 15% (large methods) and a maximal median recall of 40% (small methods). Therefore, we claim that JMove is specially useful to provide recommendations for large methods. We reinforce this claim by means of two other studies. First, by investigating the overlapping of the recommendations provided by JMove and three other recommenders (JDeodorant, inCode, and Methodbook). Second, by validating JMove and JDeodorant recommendations with experts in two industrial-strength systems.","Move method refactorings, Recommendation systems, Dependency sets, JMove, JDeodorant, Methodbook",,,,
Journal Article,"Nuñez-Varela AS,Pérez-Gonzalez HG,Martínez-Perez FE,Soubervielle-Montalvo C",,Source code metrics: A systematic mapping study,Journal of Systems and Software,2017,128.0,,164-197,,,2017,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121217300663;http://dx.doi.org/10.1016/j.jss.2017.03.044,10.1016/j.jss.2017.03.044,"Context Source code metrics are essential components in the software measurement process. They are extracted from the source code of the software, and their values allow us to reach conclusions about the quality attributes measured by the metrics. Objectives This paper aims to collect source code metrics related studies, review them, and perform an analysis, while providing an overview on the current state of source code metrics and their current trends. Method A systematic mapping study was conducted. A total of 226 studies, published between the years 2010 and 2015, were selected and analyzed. Results Almost 300 source code metrics were found. Object oriented programming is the most commonly studied paradigm with the Chidamber and Kemerer metrics, lines of code, McCabe's cyclomatic complexity, and number of methods and attributes being the most used metrics. Research on aspect and feature oriented programming is growing, especially for the current interest in programming concerns and software product lines. Conclusions Object oriented metrics have gained much attention, but there is a current need for more studies on aspect and feature oriented metrics. Software fault prediction, complexity and quality assessment are recurrent topics, while concerns, big scale software and software product lines represent current trends.","Source code metrics, Software metrics, Object-oriented metrics, Aspect-oriented metrics, Feature-oriented metrics, Systematic mapping study",,,,
Journal Article,"Walter B,Alkhaeir T",,The relationship between design patterns and code smells: An exploratory study,Information and Software Technology,2016,74.0,,127-142,,,2016,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584916300210;http://dx.doi.org/10.1016/j.infsof.2016.02.003,10.1016/j.infsof.2016.02.003,"Context—Design patterns represent recommended generic solutions to various design problems, whereas code smells are symptoms of design issues that could hinder further maintenance of a software system. We can intuitively expect that both concepts are mutually exclusive, and the presence of patterns is correlated with the absence of code smells. However, the existing experimental evidence supporting this claim is still insufficient, and studies separately analyzing the impact of smells and patterns on code quality deliver diverse results. Objective—The aim of the paper is threefold: (1) to determine if and how the presence of the design patterns is linked to the presence of code smells, (2) to investigate if and how these relationships change throughout evolution of code, and (3) to identify the relationships between individual patterns and code smells. Method—We analyze nine design patterns and seven code smells in two medium-size, long-evolving, open source Java systems. In particular, we explore how the presence of design patterns impacts the presence of code smells, analyze if this link evolves over time, and extract association rules that describe their individual relationships. Results—Classes participating in design patterns appear to display code smells less frequently than other classes. The observed effect is stronger for some patterns (e.g., Singleton, State-Strategy) and weaker for others (e.g., Composite). The ratio between the relative number of smells in the classes participating in patterns and the relative number of smells in other classes, is approximately stable or slightly decreasing in time. Conclusion—This observation could be used to anticipate the smell-proneness of individual classes, and improve code smell detectors. Overall, our findings indicate that the presence of design patterns is linked with a lower number of code smell instances. This could support programmers in a context-sensitive analysis of smells in code.","Design patterns, Code smells, Software evolution, Empirical study",,,,
Journal Article,"Fokaefs M,Tsantalis N,Stroulia E,Chatzigeorgiou A",,Identification and application of Extract Class refactorings in object-oriented systems,Journal of Systems and Software,2012,85.0,10.0,2241-2260,,,2012,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121212001057;http://dx.doi.org/10.1016/j.jss.2012.04.013,10.1016/j.jss.2012.04.013,"Refactoring is recognized as an essential practice in the context of evolutionary and agile software development. Recognizing the importance of the practice, modern IDEs provide some support for low-level refactorings. A notable exception in the list of supported refactorings is the “Extract Class” refactoring, which is conceived to simplify large, complex, unwieldy and less cohesive classes. In this work, we describe a method and a tool, implemented as an Eclipse plugin, designed to fulfill exactly this need. Our method involves three steps: (a) recognition of Extract Class opportunities, (b) ranking of the identified opportunities in terms of the improvement each one is anticipated to bring about to the system design, and (c) fully automated application of the refactoring chosen by the developer. The first step relies on an agglomerative clustering algorithm, which identifies cohesive sets of class members within the system classes. The second step relies on the Entity Placement metric as a measure of design quality. Through a set of experiments we have shown that the tool is able to identify and extract new classes that developers recognize as “coherent concepts” and improve the design quality of the underlying system.","Refactoring, Software reengineering, Object-oriented programming, Clustering",Automated Software Evolution,,,
Journal Article,"Dalla Palma S,Di Nucci D,Palomba F,Tamburri DA",,Toward a catalog of software quality metrics for infrastructure code,Journal of Systems and Software,2020,170.0,,110726,,,2020,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121220301618;http://dx.doi.org/10.1016/j.jss.2020.110726,10.1016/j.jss.2020.110726,"Infrastructure-as-code (IaC) is a practice to implement continuous deployment by allowing management and provisioning of infrastructure through the definition of machine-readable files and automation around them, rather than physical hardware configuration or interactive configuration tools. On the one hand, although IaC represents an ever-increasing widely adopted practice nowadays, still little is known concerning how to best maintain, speedily evolve, and continuously improve the code behind the IaC practice in a measurable fashion. On the other hand, source code measurements are often computed and analyzed to evaluate the different quality aspects of the software developed. However, unlike general-purpose programming languages (GPLs), IaC scripts use domain-specific languages, and metrics used for GPLs may not be applicable for IaC scripts. This article proposes a catalog consisting of 46 metrics to identify IaC properties focusing on Ansible, one of the most popular IaC language to date, and shows how they can be used to analyze IaC scripts.","Infrastructure as code, Software metrics, Software quality",,,,
Journal Article,"Wang Y,Wang Y",,Citrus ontology development based on the eight-point charter of agriculture,Computers and Electronics in Agriculture,2018,155.0,,359-370,,,2018,,0168-1699,https://www.sciencedirect.com/science/article/pii/S0168169917312012;http://dx.doi.org/10.1016/j.compag.2018.10.034,10.1016/j.compag.2018.10.034,"Developing large-scale agricultural ontologies is a challenging and error-prone task that requires substantial effort and collaboration between domain experts and ontology developers due to the complexity of agricultural knowledge. Inspired by the Chinese Eight-Point Charter of Agriculture, i.e., Soil, Fertilization, Water, Variety, Density, Protection, Management and Tool, this paper presents an approach to modeling and integrating citrus production knowledge. Citrus domain knowledge is classified into eight categories based on the Eight-Point Charter of Agriculture, and the relationships in each category and among categories are established. The eight categories and the relationships are defined as the citrus production knowledge framework. Then, we propose mechanisms to develop citrus ontology based on the citrus production knowledge framework. The Fertilization ontology is created as an illustration of our approach, which contains 866 ontology entities and 12,583 Resource Description Framework triples. The structural evaluation results of the eight metrics for the Fertilization ontology are considerably better than the average and median values of 1413 Web ontologies. In addition, four antipatterns were used to evaluate the ontology, and no occurrence of the antipatterns was detected for the 866 ontology entities. The accuracy of the ontology is ensured by the competency evaluation of the 110 questions with 88% accuracy. Our approach provides an effective solution for modeling complex agricultural knowledge and transforming the agriculture domain knowledge into computable resources.","Ontology, Knowledge modeling, Semantic web, Agriculture",,,,
Journal Article,"Morales R,Soh Z,Khomh F,Antoniol G,Chicano F",,On the use of developers’ context for automatic refactoring of software anti-patterns,Journal of Systems and Software,2017,128.0,,236-251,,,2017,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121216300632;http://dx.doi.org/10.1016/j.jss.2016.05.042,10.1016/j.jss.2016.05.042,"Anti-patterns are poor solutions to design problems that make software systems hard to understand and extend. Entities involved in anti-patterns are reported to be consistently related to high change and fault rates. Refactorings, which are behavior preserving changes are often performed to remove anti-patterns from software systems. Developers are advised to interleave refactoring activities with their regular coding tasks to remove anti-patterns, and consequently improve software design quality. However, because the number of anti-patterns in a software system can be very large, and their interactions can require a solution in a set of conflicting objectives, the process of manual refactoring can be overwhelming. To automate this process, previous works have modeled anti-patterns refactoring as a batch process where a program provides a solution for the total number of classes in a system, and the developer has to examine a long list of refactorings, which is not feasible in most situations. Moreover, these proposed solutions often require that developers modify classes on which they never worked before (i.e., classes on which they have little or no knowledge). To improve on these limitations, this paper proposes an automated refactoring approach, ReCon (Refactoring approach based on task Context), that leverages information about a developer’s task (i.e., the list of code entities relevant to the developer’s task) and metaheuristics techniques to compute the best sequence of refactorings that affects only entities in the developer’s context. We mine 1705 task contexts (collected using the Eclipse plug-in Mylyn) and 1013 code snapshots from three open-source software projects (Mylyn, PDE, Eclipse Platform) to assess the performance of our proposed approach. Results show that ReCon can remove more than 50% of anti-patterns in a software system, using fewer resources than the traditional approaches from the literature.","Software maintenance, Automatic refactoring, Task context, Interaction traces, Anti-patterns, Metaheuristics",,,,
