"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Empirical Framework for Code Smell Prediction using Extreme Learning Machine","H. Gupta; L. Kumar; L. B. M. Neti","BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India","2019 9th Annual Information Technology, Electromechanical Engineering and Microelectronics Conference (IEMECON)","21 Oct 2019","2019","","","189","195","The software containing code smells indicates the violation of standard design and coding practices by developer during the development of the software system. Recent empirical studies observed that classes having code smells have higher probability of change proneness or fault proneness with respect to classes having no code smells [1]. The effort of removing bugs due to code smells increases exponentially if the smells are not identified during the earlier phases of software development. The code smell prediction using source code metrics can be used in starting phases of software development life cycle to reduce the maintenance and testing effort of software and also help in improving the quality of the software. The work in this paper empirically investigates and evaluates different classification techniques, feature selection techniques, and data sampling techniques to handle imbalance data in predicting 7 different types of code smell. The conclusion of this research is assessed over 629 application packages. The experimental finding confirms the estimating capability of different classifiers, feature selection, and data imbalance techniques for developing code smell prediction models. Our analysis also reveals that the models developed using one technique are superior than the models developed using other techniques.","","978-1-5386-9325-4","10.1109/IEMECONX.2019.8877082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877082","Code Smell;Software Engineering;Source Code Metrics;Machine Learning;Feature selection","Measurement;Analytical models;Codes;Predictive models;Feature extraction;Software systems;Software","feature selection;feedforward neural nets;pattern classification;program debugging;program testing;software fault tolerance;software maintenance;software metrics;software quality;source code (software)","coding practices;source code metrics;software development life cycle;code smell prediction models;extreme learning machine;change proneness;fault proneness;bugs removal;software maintenance;software testing;software quality;classification techniques;feature selection techniques;data sampling techniques;data imbalance techniques","","3","","10","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"An empirical analysis of the distribution of unit test smells and their impact on software maintenance","G. Bavota; A. Qusef; R. Oliveto; A. De Lucia; D. Binkley","University of Salerno, Fisciano, (SA), Italy; University of Salerno, Fisciano, (SA), Italy; University of Molise, Pesche, (IS), Italy; University of Salerno, Fisciano, (SA), Italy; Loyola University Maryland, Baltimore, USA","2012 28th IEEE International Conference on Software Maintenance (ICSM)","10 Jan 2013","2012","","","56","65","Unit testing represents a key activity in software development and maintenance. Test suites with high internal quality facilitate maintenance activities, such as code comprehension and regression testing. Several guidelines have been proposed to help developers write good test suites. Unfortunately, such rules are not always followed resulting in the presence of bad test code smells (or simply test smells). Test smells have been defined as poorly designed tests and their presence may negatively affect the maintainability of test suites and production code. Despite the many studies that address code smells in general, until now there has been no empirical evidence regarding test smells (i) distribution in software systems nor (ii) their impact on the maintainability of software systems. This paper fills this gap by presenting two empirical studies. The first study is an exploratory analysis of 18 software systems (two industrial and 16 open source) aimed at analyzing the distribution of test smells in source code. The second study, a controlled experiment involving twenty master students, is aimed at analyzing whether the presence of test smells affects the comprehension of source code during software maintenance. The results show that (i) test smells are widely spread throughout the software systems studied and (ii) most of the test smells have a strong negative impact on the comprehensibility of test suites and production code.","1063-6773","978-1-4673-2312-3","10.1109/ICSM.2012.6405253","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405253","Test smells;Unit testing;Mining software repositories;Controlled experiments","Testing;Software systems;Fixtures;Software maintenance;Maintenance engineering;Conferences","program testing;public domain software;software maintenance","empirical analysis;unit test smell distribution;software maintenance;software development;maintenance activity;code comprehension;regression testing;bad test code smell;test suite maintainability;production code;software system maintainability;industrial software;open source software;source code","","71","","24","IEEE","10 Jan 2013","","","IEEE","IEEE Conferences"
"Comparison of Machine Learning Methods for Code Smell Detection Using Reduced Features","K. Karađuzović-Hadžiabdić; R. Spahić","Faculty of Engineering andNatural Sciences, International University of Sarajevo, Sarajevo, Bosnia and Herzegovina; Equinor ASA Research Center Trondheim Rotvoll, Norway","2018 3rd International Conference on Computer Science and Engineering (UBMK)","9 Dec 2018","2018","","","670","672","We examine a machine learning approach for detecting common Class and Method level code smells (Data Class and God Class, Feature Envy and Long Method). The focus of the work is selection of reduced set of features that will achieve high classification accuracy. The proposed features may be used by the developers to develop better quality software since the selected features focus on the most critical parts of the code that is responsible for creation of common code smells. We obtained a high accuracy results for all four code smells using the selected features: 98.57% for Data Class, 97.86% for God Class, 99.67% for Feature Envy, and 99.76% for Long Method.","","978-1-5386-7893-0","10.1109/UBMK.2018.8566561","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8566561","code smells;machine learning;feature selection","Machine learning;Feature extraction;Conferences;Software maintenance;Software engineering","learning (artificial intelligence);pattern classification;programming;software quality;source code (software)","Data Class;God Class;Feature Envy;Long Method;code smell detection;reduced features;machine learning;software quality","","1","","10","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"Support vector machines for anti-pattern detection","A. Maiga; N. Ali; N. Bhattacharya; A. Sabané; Y. -G. Guéhéneuc; G. Antoniol; E. Aïmeur","Université de Montréal, QUE, Canada; École Polytechnique de Montréal, QUE, Canada; École Polytechnique de Montréal, QUE, Canada; École Polytechnique de Montréal, QUE, Canada; École Polytechnique de Montréal, QUE, Canada; École Polytechnique de Montréal, QUE, Canada; Université de Montréal, QUE, Canada","2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering","8 Apr 2013","2012","","","278","281","Developers may introduce anti-patterns in their software systems because of time pressure, lack of understanding, communication, and--or skills. Anti-patterns impede development and maintenance activities by making the source code more difficult to understand. Detecting anti-patterns in a whole software system may be infeasible because of the required parsing time and of the subsequent needed manual validation. Detecting anti-patterns on subsets of a system could reduce costs, effort, and resources. Researchers have proposed approaches to detect occurrences of anti-patterns but these approaches have currently some limitations: they require extensive knowledge of anti-patterns, they have limited precision and recall, and they cannot be applied on subsets of systems. To overcome these limitations, we introduce SVMDetect, a novel approach to detect anti-patterns, based on a machine learning technique---support vector machines. Indeed, through an empirical study involving three subject systems and four anti-patterns, we showed that the accuracy of SVMDetect is greater than of DETEX when detecting anti-patterns occurrences on a set of classes. Concerning, the whole system, SVMDetect is able to find more anti-patterns occurrences than DETEX.","","978-1-4503-1204-2","10.1145/2351676.2351723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494935","Anti-pattern;empirical software engineering;program comprehension;program maintenance","","learning (artificial intelligence);software maintenance;support vector machines","support vector machines;antipattern detection;software systems;source code;parsing time;manual validation;SVMDetect;machine learning technique;DETEX","","22","","13","","8 Apr 2013","","","IEEE","IEEE Conferences"
"Improving Design Smell Detection for Adoption in Industry","K. Alkharabsheh; J. A. Taboada; Y. Crespo; T. Alzu'bi","CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion Universidade de Santiago de Compostela Santiago, de Compostela, Spain; CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion Universidade de Santiago de Compostela Santiago, de Compostela, Spain; CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion Universidade de Santiago de Compostela Santiago, de Compostela, Spain; CiTIUS, Centro Singular de Investigacion en Tecnologias de la Informacion Universidade de Santiago de Compostela Santiago, de Compostela, Spain","2018 8th International Conference on Computer Science and Information Technology (CSIT)","11 Oct 2018","2018","","","213","218","This work deals with the development of a classification algorithm that will improve the usefulness of design smell detection tools for its adoption in industry in order to increase software quality (maintainability, understandability, etc.). The current knowledge of Design Smell Detection (types of smells, approaches, strategies, algorithms, tools, etc.) will be identified. After that, a dataset that allow the comparison of different machine learning techniques will be developed. Analysis of possible improvements derived of the introduction of subjectivity, adaptability and gray scale are also an objective of the work.","","978-1-5386-4152-1","10.1109/CSIT.2018.8486180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486180","Design Smell;Detection Tools;Machine Learning;Software Quality;Empirical Study","Tools;Software quality;Measurement;Software algorithms;Java;Machine learning algorithms","learning (artificial intelligence);pattern classification;software quality","classification algorithm;design smell detection tools;software quality;improving design smell detection;adoption industry;machine learning techniques","","1","","28","EU","11 Oct 2018","","","IEEE","IEEE Conferences"
"An Empirical Analysis on the Role of WSDL Metrics in Web Service Anti-Pattern Prediction","S. Tummalapalli; L. Kumar; L. B. M. Neti; A. Krishna","BITS-Pilani, Hyderabad; BITS-Pilani, Hyderabad; BITS-Pilani, Hyderabad; Curtin University, Australia","2020 IEEE 22nd International Conference on High Performance Computing and Communications; IEEE 18th International Conference on Smart City; IEEE 6th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","26 Apr 2021","2020","","","559","564","Service-Oriented Architecture (SOA) is one of the most well-known models for designing web systems. SOA system evolution and maintenance is challenging because of its distributive nature and secondly due to the demand of designing high-quality, stable interfaces. This evolution leads to a problem called Anti-patterns in web services. It is observed that these anti-patterns negatively impact the evolution and maintenance of software systems, making the early detection and correction of them a primary concern for the software developers. The primary motivation of this work is to investigate the relationship between the Web Service Description Language(WSDL) metrics and anti-patterns in web services. This research aims to develop an automatic method for the detection of web service anti-patterns. The core idea of the methodology defined is to identify the most crucial WSDL metrics with the association of various feature selection techniques for the prediction of anti-patterns. Experimental results show that the model developed by using all the WSDL quantity metrics(AM) shows a bit high performance compared to the models developed with the other metric sets. Experimental results also showed that the performance of the models generated using Decision Tree(DT) and Major Voting Ensemble(MVE) is high compared to the models generated using other classifier techniques.","","978-1-7281-7649-9","10.1109/HPCC-SmartCity-DSS50907.2020.00070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407977","Anti-patterns;Web Services;WSDL metrics;Neural Networks;Feature Selection;Data Sampling;Machine Learning","Measurement;Computational modeling;High performance computing;Conferences;Maintenance engineering;Software systems;Feature extraction","decision trees;service-oriented architecture;software maintenance;software metrics;software quality;user interfaces;Web services","Web service anti-pattern prediction;SOA system evolution;Web systems design;software system maintenance;WSDL metrics;service oriented architecture;SOA system maintenance;software developers;Web service description language metrics;feature selection;decision tree;major voting ensemble","","","","7","IEEE","26 Apr 2021","","","IEEE","IEEE Conferences"
"Bad-smell prediction from software design model using machine learning techniques","N. Maneerat; P. Muenchaisri","Department of Computer Engineering, Faculty of Engineering, Chulalongkom University, Bangkok, Thailand; Department of Computer Engineering, Faculty of Engineering, Chulalongkom University, Bangkok, Thailand","2011 Eighth International Joint Conference on Computer Science and Software Engineering (JCSSE)","23 Jun 2011","2011","","","331","336","Bad-smell prediction significantly impacts on software quality. It is beneficial if bad-smell prediction can be performed as early as possible in the development life cycle. We present methodology for predicting bad-smells from software design model. We collect 7 data sets from the previous literatures which offer 27 design model metrics and 7 bad-smells. They are learnt and tested to predict bad-smells using seven machine learning algorithms. We use cross-validation for assessing the performance and for preventing over-fitting. Statistical significance tests are used to evaluate and compare the prediction performance. We conclude that our methodology have proximity to actual values.","","978-1-4577-0687-5","10.1109/JCSSE.2011.5930143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5930143","Bad-smell;Software Design Model;Random Forest;Design Diagram Metrics;Prediction models;Machine Learners","","learning (artificial intelligence);software maintenance;software metrics;software quality;statistical analysis","bad-smell prediction;software design model;machine learning;software quality;statistical significance test","","29","","14","IEEE","23 Jun 2011","","","IEEE","IEEE Conferences"
"Antipattern and Code Smell False Positives: Preliminary Conceptualization and Classification","F. A. Fontana; J. Dietrich; B. Walter; A. Yamashita; M. Zanoni","Department of Informatics, Systems and Communication, University of Milano-Bicocca, Milano, Italy; School of Engineering and Advanced Technology, Massey University, Palmerston North, New Zealand; Faculty of Computing, Poznań University of Technology, Poznań, Poland; Department of Information Technology, Oslo and Akershus University, Oslo, Norway; Department of Informatics, Systems and Communication, University of Milano-Bicocca, Milano, Italy","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","23 May 2016","2016","1","","609","613","Anti-patterns and code smells are archetypes used for describing software design shortcomings that can negatively affect software quality, in particular maintainability. Tools, metrics and methodologies have been developed to identify these archetypes, based on the assumption that they can point at problematic code. However, recent empirical studies have shown that some of these archetypes are ubiquitous in real world programs, and many of them are found not to be as detrimental to quality as previously conjectured. We are therefore interested in revisiting common anti-patterns and code smells, and building a catalogue of cases that constitute candidates for ""false positives"". We propose a preliminary classification of such false positives with the aim of facilitating a better understanding of the effects of anti-patterns and code smells in practice. We hope that the development and further refinement of such a classification can support researchers and tool vendors in their endeavour to develop more pragmatic, context-relevant detection and analysis tools for anti-patterns and code smells.","","978-1-5090-1855-0","10.1109/SANER.2016.84","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476682","Anti-patterns;code smells;false positives;detection accuracy;conceptual framework","Production facilities;Generators;Software quality;Graphical user interfaces;Maintenance engineering;Systematics;Concrete","pattern classification;software maintenance;software reliability;ubiquitous computing","code smells;software design shortcomings;software quality;software maintainability;false positives;tool vendors;context-relevant detection;antipattern analysis tools;preliminary classification;preliminary conceptualization","","40","","34","IEEE","23 May 2016","","","IEEE","IEEE Conferences"
"A Metric-Based Heuristic Framework to Detect Object-Oriented Design Flaws","M. Salehie; Shimin Li; L. Tahvildari","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada","14th IEEE International Conference on Program Comprehension (ICPC'06)","26 Jun 2006","2006","","","159","168","One of the important activities in re-engineering process is detecting design flaws. Such design flaws prevent an efficient maintenance, and further development of a system. This research proposes a novel metric-based heuristic framework to detect and locate object-oriented design flaws from the source code. It is accomplished by evaluating design quality of an object-oriented system through quantifying deviations from good design heuristics and principles. While design flaws can occur at any level, the proposed approach assesses the design quality of internal and external structure of a system at the class level which is the most fundamental level of a system. In a nutshell, design flaws are detected and located systematically in two phases using a generic OO design knowledge-base. In the first phase, hotspots are detected by primitive classifiers via measuring metrics indicating a design feature (e.g. complexity). In the second phase, individual design flaws will be detected by composite classifiers using a proper set of metrics. We have chosen JBoss Application Server as the case study, due to its pure OO large size structure, and its success as an open source J2EE platform among developers.","1092-8138","0-7695-2601-2","10.1109/ICPC.2006.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631118","","Phase detection;Software systems;Process design;Phase measurement;Application software;Open source software;Software design;Medical diagnosis;Medical expert systems;Diagnostic expert systems","object-oriented programming;program debugging;software maintenance;software metrics;software quality;systems re-engineering","software re-engineering;software maintenance;metric-based heuristic framework;object-oriented design flaw detection;source code;design quality;knowledge-base;JBoss application server;open source J2EE platform","","21","","23","IEEE","26 Jun 2006","","","IEEE","IEEE Conferences"
"Predicting maintainability of open source software using Gene Expression Programming and bad smells","S. Tarwani; A. Chug","University School of Information and Communication Technology, Guru Gobind Singh Indraprastha University, New Delhi, India; University School of Information and Communication Technology, Guru Gobind Singh Indraprastha University, New Delhi, India","2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","19 Dec 2016","2016","","","452","459","Software maintenance phase of Software Development Lifecycle (SDLC) is the most expensive and complex phase that requires nearly 60-70% of the total project cost. Due to this, many software fails to get repair within real time constraint. Ascribe to technology advancements and changing requirements, software must be well developed and maintained to get adapted. Hence, it is necessary to predict software maintainability in the early phases of the lifecycle so that optimization of resources can be possible and cost can be reduced. Software Maintainability is the quality attribute of software product that explains the ease with which modifications can be performed. The main focus in this study is to propose the use of Gene Expression Programming (GEP) for the software maintainability prediction and measure its performance with various machine leaning techniques such as Decision Tree Forest, Support Vector Machine, Linear regression, Multilayer Perceptron and Radial basis function neural network. The empirical study is conducted with the help of four open source datasets. Eleven bad smells are identified and is considered as maintenance effort. Results of this study show that GEP algorithm performs better than machine learning classifiers; hence it can be used as sound alternative in the prediction of software maintainability. This study would be helpful in achieving better resource allocation hence it will be useful for developers and maintainers.","","978-1-5090-1489-7","10.1109/ICRITO.2016.7784998","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784998","Software Maintainability;Bad smell;Gene Expression Programming;Machine learning algorithm;Prediction accuracy measures;Software Metrics","Software;Measurement;Predictive models;Machine learning algorithms;Prediction algorithms;Software algorithms;Gene expression","evolutionary computation;learning (artificial intelligence);pattern classification;public domain software;software maintenance;software metrics","open source software;gene expression programming;bad smells;software maintenance;software development lifecycle;SDLC;software maintainability prediction;software product;machine learning classifiers;software metrics","","4","","25","IEEE","19 Dec 2016","","","IEEE","IEEE Conferences"
"Assessment of Code Smell for Predicting Class Change Proneness Using Machine Learning","N. Pritam; M. Khari; L. Hoang Son; R. Kumar; S. Jha; I. Priyadarshini; M. Abdel-Basset; H. Viet Long","Leading Pseudo Code Labs, Delhi, India; Department of Computer Science and Engineering, AIACTR, New Delhi, India; College of Electronics and Information Engineering, Sejong University, Seoul, South Korea; Department of Computer Science and Engineering, LNCT College, Jabalpur, India; School of Computer Engineering, KIIT University, Bhubaneswar, India; Department of Electrical and Computer Engineering, University of Delaware, Newark, DE, USA; Department of Operations Research and Decision Support, Zagazig University, Zagazig, Egypt; Faculty of Mathematics and Statistics, Ton Duc Thang University, Ho Chi Minh City, Vietnam","IEEE Access","1 Apr 2019","2019","7","","37414","37425","Assessment of code smell for predicting software change proneness is essential to ensure its significance in the area of software quality. While multiple studies have been conducted in this regard, the number of systems studied and the methods used in this paper are quite different, thus, causing confusion for understanding the best methodology. The objective of this paper is to approve the effect of code smell on the change inclination of a specific class in a product framework. This is the novelty and surplus of this work against the others. Furthermore, this paper aims to validate code smell for predicting class change proneness to find an error in the prediction of change proneness using code smell. Six typical machine learning algorithms (Naive Bayes Classifier, Multilayer Perceptron, LogitBoost, Bagging, Random Forest, and Decision Tree) have been used to predict change proneness using code smell from a set of 8200 Java classes spanning 14 software systems. The experimental results suggest that code smell is indeed a powerful predictor of class change proneness with multilayer perceptron being the most effective technique. The sensitivity and specificity values for all the models are well over 70% with a few exceptions.","2169-3536","","10.1109/ACCESS.2019.2905133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8667419","Code smell;change proneness;software maintenance;machine learning;multilayer perceptron","Machine learning;Measurement;Machine learning algorithms;Multilayer perceptrons;Software systems;Tools","Bayes methods;decision trees;Java;learning (artificial intelligence);multilayer perceptrons;pattern classification;software maintenance;software quality","code smell;software systems;Java classes;decision tree;random forest;bagging;LogitBoost;multilayer perceptron;naive Bayes classifier;machine learning algorithms;class change proneness;software change proneness","","24","","29","OAPA","14 Mar 2019","","","IEEE","IEEE Journals"
"An Empirical Framework for Web Service Anti-pattern Prediction using Machine Learning Techniques","S. Tummalapalli; L. Kumar; L. B. M. Neti","BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India; BITS Pilani Hyderabad Campus, India","2019 9th Annual Information Technology, Electromechanical Engineering and Microelectronics Conference (IEMECON)","21 Oct 2019","2019","","","137","143","In todays software industries, the concepts of Web Services are applied to design and develop distributed software system. These distributed software system can be designed and developed by integrating different Web Services provided by different parties. Similar to other software systems, Web Services based system also suffers from bad or poor design i.e., bad design selection, anti-pattern, poor planning etc.. Early prediction of anti-patterns can help developer and tester in fixing design issue and also effectively utilize the resources. The work in this paper empirically investigates and evaluates six classification techniques, 8 feature selection techniques (7 feature ranking techniques and 1 feature subset evaluation technique), and 1 data sampling technique to handle imbalance data in predicting 5 different types of anti-patterns. These all techniques are validated on 226 real-world web-services across several domains. The performance of the developed models using these techniques are evaluated using AUC value. Our analysis reveals that the model developed using these techniques able to predict different anti-patterns using source code metrics. Our analysis also reveals that the best feature selection technique is OneR, data sample is better that without sampling and Random Forest is best classification algorithm for anti-pattern predictions.","","978-1-5386-9325-4","10.1109/IEMECONX.2019.8877008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877008","Anti-Patterns;Software Engineering;Source Code Metrics;Web Services;Machine Learning;Feature selection;Aggregation Measures","Measurement;Web services;Feature extraction;Predictive models;Tools;Software systems","data handling;distributed processing;DP industry;feature extraction;feature selection;learning (artificial intelligence);pattern classification;software metrics;Web services","machine learning;software industries;distributed software system;Web services;software systems;feature selection;data sampling;feature selection technique;Web service antipattern prediction;AUC value;source code metrics","","4","","18","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"Comparison of Multi-Label Classification Algorithms for Code Smell Detection","E. O. Kiyak; D. Birant; K. U. Birant","The Graduate School of Natural and Applied Sciences, Dokuz Eylul University, Izmir, Turkey; Department of Computer Engineering, Dokuz Eylul University, Izmir, Turkey; Department of Computer Engineering, Dokuz Eylul University, Izmir, Turkey","2019 3rd International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)","16 Dec 2019","2019","","","1","6","Code smells in a source code shows the weakness of design or implementation. To detect code smells, several detection tools have been developed. However, these tools generally produce different results, since code smells are subjectively interpreted, informally defined and configured by the developers, domain-dependent and based on opinions and experiences. To cope with these issues, in this paper, we have used machine learning techniques, especially multi-label classification methods, to classify whether the given source code is affected with more than one code smells or not. We have conducted experiments on four code smell datasets and transformed them into two multi-label datasets (one for method level and the other one for class level). Two multi-label classification methods (Classifier Chains and Label Combination) and their ensemble models performed on the converted datasets using five different base classifiers. The results show that, as a base classifier, Random Forest algorithm performs better than Decision Tree, Naive Bayes, Support Vector Machine and Neural Network algorithms.","","978-1-7281-3789-6","10.1109/ISMSIT.2019.8932855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932855","code smell detection;multi-label classification;software engineering;machine learning","Classification algorithms;Machine learning;Support vector machines;Tools;Machine learning algorithms;Software algorithms;Decision trees","decision trees;learning (artificial intelligence);pattern classification;support vector machines","code smell datasets;multilabel datasets;multilabel classification methods;code smell detection;detection tools;source code;classifier chains;label combination;base classifiers;random forest algorithm","","1","","16","IEEE","16 Dec 2019","","","IEEE","IEEE Conferences"
"Do We Have a Chance to Fix Bugs When Refactoring Code Smells?","W. Ma; L. Chen; Y. Zhou; B. Xu","State Key Laboratory for Novel Software Technology Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology Nanjing University, Nanjing, China; State Key Laboratory for Novel Software Technology Nanjing University, Nanjing, China","2016 International Conference on Software Analysis, Testing and Evolution (SATE)","12 Dec 2016","2016","","","24","29","Code smells are used to describe code structures that may cause detrimental effects on software and should be refactored. Previous studies show that some code smells have significant effect on faults. However, how to refactor code smells to reduce bugs still needs more concern. We investigate the possibility of prioritizing code smell refactoring with the help of fault prediction results. We also investigate the possibility of improving the performance of fault prediction by using code smell detection results. We use Cohen's Kappa statistic to report agreements between results of code smell detections and fault predictions. We use fault prediction result as an indicator to guide code smell refactoring. Our results show that refactoring Blob, Long Parameter List, and Refused Parent Be Request may have a good chance to detect and fix bugs, and some code smells are particularly useful for improving the recall of fault prediction.","","978-1-5090-4517-4","10.1109/SATE.2016.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780189","Code smell;refactoring;refactoring prioritization;fault prediction","Computer bugs;Measurement;Software;Object oriented modeling;Predictive models;Complexity theory;Logistics","program debugging;software fault tolerance;software maintenance;software performance evaluation","bugs;code structures;code smell detection;Kappa statistic;code smell refactoring;Refused Parent Be Request;Long Parameter List;Blob;fault prediction performance improvement","","9","","35","IEEE","12 Dec 2016","","","IEEE","IEEE Conferences"
"Antipattern-Based Problem Injection for Assessing Performance and Reliability Evaluation Techniques","P. Keck; A. Van Hoorn; D. Okanović; T. Pitakrat; T. F. Düllmann","Inst. of Software Technol., University of Stuttgart, Stuttgart, Germany; Inst. of Software Technol., Universitat Stuttgart, Stuttgart, Baden-WÃ¼rttemberg, DE; Inst. of Software Technol., University of Stuttgart, Stuttgart, Germany; Inst. of Software Technol., University of Stuttgart, Stuttgart, Germany; Inst. of Software Technol., University of Stuttgart, Stuttgart, Germany","2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","19 Dec 2016","2016","","","64","70","A challenging problem with today's increasingly large and distributed software systems is their performance behavior. To help developers avoid or detect mistakes that lead to performance problems, many researchers in software performance engineering have come up with classifications of such problems, called antipatterns. To test the approaches for antipattern detection, data from running systems is required. However, the usefulness of this data is doubtful as it may or may not include manifestations of performance problems. In this paper, we classify existing performance antipatterns w.r.t. their suitability for being injected and, based on this, introduce an extensible tool that allows to inject instances of these antipatterns into existing applications. The approach can be useful for researchers to test and validate their automated runtime problem evaluation and prevention techniques. Using two exemplary performance antipatterns, it is demonstrated that the injection is easily possible and produces feasible, though currently rather clinical results.","","978-1-5090-3601-1","10.1109/ISSREW.2016.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7789382","performance antipatterns;problem injection;performance and reliability evaluation","Libraries;Bridges;Instruments;Software reliability;Software systems","distributed processing;pattern classification;software performance evaluation;software reliability","anti pattern-based problem injection;performance evaluation technique;reliability evaluation technique;distributed software systems;performance behavior;software performance engineering;anti pattern detection;automated runtime problem evaluation technique;automated runtime prevention technique","","5","","47","IEEE","19 Dec 2016","","","IEEE","IEEE Conferences"
"Keep it simple: Is deep learning good for linguistic smell detection?","S. Fakhoury; V. Arnaoudova; C. Noiseux; F. Khomh; G. Antoniol","School of Electrical Engineering and Computer Science, Washington State University, Pullman, USA; School of Electrical Engineering and Computer Science, Washington State University, Pullman, USA; Department of Computer and Software Engineering, Polytechnique Montréal, Montréal, Canada; Department of Computer and Software Engineering, Polytechnique Montréal, Montréal, Canada; Department of Computer and Software Engineering, Polytechnique Montréal, Montréal, Canada","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","5 Apr 2018","2018","","","602","611","Deep neural networks is a popular technique that has been applied successfully to domains such as image processing, sentiment analysis, speech recognition, and computational linguistic. Deep neural networks are machine learning algorithms that, in general, require a labeled set of positive and negative examples that are used to tune hyper-parameters and adjust model coefficients to learn a prediction function. Recently, deep neural networks have also been successfully applied to certain software engineering problem domains (e.g., bug prediction), however, results are shown to be outperformed by traditional machine learning approaches in other domains (e.g., recovering links between entries in a discussion forum). In this paper, we report our experience in building an automatic Linguistic Antipattern Detector (LAPD) using deep neural networks. We manually build and validate an oracle of around 1,700 instances and create binary classification models using traditional machine learning approaches and Convolutional Neural Networks. Our experience is that, considering the size of the oracle, the available hardware and software, as well as the theory to interpret results, deep neural networks are outperformed by traditional machine learning algorithms in terms of all evaluation metrics we used and resources (time and memory). Therefore, although deep learning is reported to produce results comparable and even superior to human experts for certain complex tasks, it does not seem to be a good fit for simple classification tasks like smell detection. Researchers and practitioners should be careful when selecting machine learning models for the problem at hand.","","978-1-5386-4969-5","10.1109/SANER.2018.8330265","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330265","Antipattern Detection;Machine Learning;Con-volutional Neural Networks","Neural networks;Machine learning;Support vector machines;Linguistics;Task analysis;Machine learning algorithms;Vegetation","computational linguistics;convolution;feedforward neural nets;learning (artificial intelligence);pattern classification","deep neural networks;Convolutional Neural Networks;machine learning models;deep learning;linguistic smell detection;prediction function;automatic Linguistic Antipattern Detector;binary classification models","","8","","29","IEEE","5 Apr 2018","","","IEEE","IEEE Conferences"
